2_time1(ch1),2_voltage1(ch1),3_time1(ch1),3_voltage1(ch1),4_time1(ch1),4_voltage1(ch1),5_time1(ch1),5_voltage1(ch1),6_time1(ch1),6_voltage1(ch1),7_time1(ch1),7_voltage1(ch1)
-0.0000002588,0.02,-0.0000001204,0,-0.0000001204,0.008,-0.0000002588,0.016,-0.0000002588,0.008,-0.0000002588,0.0072
-0.0000002586,0,-0.0000001203,0,-0.0000001203,0.016,-0.0000002586,0.016,-0.0000002586,0.008,-0.0000002586,0.0072
-0.0000002584,0,-0.0000001202,0,-0.0000001202,0.016,-0.0000002584,0.016,-0.0000002584,0.008,-0.0000002584,0.0072
-0.0000002582,0,-0.0000001201,0,-0.0000001201,0.016,-0.0000002582,0.016,-0.0000002582,0.008,-0.0000002582,0.0072
-0.000000258,0,-0.00000012,0,-0.00000012,0.016,-0.000000258,0.016,-0.000000258,0.008,-0.000000258,0.0072
-0.0000002578,0,-0.0000001199,0,-0.0000001199,0.008,-0.0000002578,0.016,-0.0000002578,0.008,-0.0000002578,0.0072
-0.0000002576,0,-0.0000001198,0,-0.0000001198,0.008,-0.0000002576,0.016,-0.0000002576,0.008,-0.0000002576,0.008
-0.0000002574,-0.02,-0.0000001197,0,-0.0000001197,0.008,-0.0000002574,0.016,-0.0000002574,0.008,-0.0000002574,0.008
-0.0000002572,-0.02,-0.0000001196,0.02,-0.0000001196,0.008,-0.0000002572,0.016,-0.0000002572,0.008,-0.0000002572,0.008
-0.000000257,0,-0.0000001195,0.02,-0.0000001195,0.008,-0.000000257,0.016,-0.000000257,0,-0.000000257,0.008
-0.0000002568,0,-0.0000001194,0.02,-0.0000001194,0.008,-0.0000002568,0.016,-0.0000002568,0,-0.0000002568,0.0088
-0.0000002566,0,-0.0000001193,0,-0.0000001193,0.008,-0.0000002566,0.016,-0.0000002566,0,-0.0000002566,0.0088
-0.0000002564,0,-0.0000001192,0,-0.0000001192,0.008,-0.0000002564,0.016,-0.0000002564,0,-0.0000002564,0.008
-0.0000002562,0,-0.0000001191,0,-0.0000001191,0.008,-0.0000002562,0.016,-0.0000002562,0,-0.0000002562,0.008
-0.000000256,0,-0.000000119,0,-0.000000119,0,-0.000000256,0.008,-0.000000256,0,-0.000000256,0.0072
-0.0000002558,0.02,-0.0000001189,0,-0.0000001189,0,-0.0000002558,0.008,-0.0000002558,-0.008,-0.0000002558,0.0072
-0.0000002556,0.02,-0.0000001188,0,-0.0000001188,0,-0.0000002556,0,-0.0000002556,-0.008,-0.0000002556,0.0072
-0.0000002554,0.02,-0.0000001187,0,-0.0000001187,0,-0.0000002554,0,-0.0000002554,0,-0.0000002554,0.0064
-0.0000002552,0.02,-0.0000001186,0,-0.0000001186,0,-0.0000002552,0,-0.0000002552,0,-0.0000002552,0.0064
-0.000000255,0.02,-0.0000001185,0,-0.0000001185,0,-0.000000255,0,-0.000000255,0,-0.000000255,0.0064
-0.0000002548,0.02,-0.0000001184,0,-0.0000001184,0,-0.0000002548,0,-0.0000002548,0,-0.0000002548,0.0064
-0.0000002546,0.02,-0.0000001183,0,-0.0000001183,0,-0.0000002546,0,-0.0000002546,0,-0.0000002546,0.0072
-0.0000002544,0,-0.0000001182,0,-0.0000001182,0,-0.0000002544,0,-0.0000002544,0,-0.0000002544,0.0072
-0.0000002542,0,-0.0000001181,0,-0.0000001181,0,-0.0000002542,0.008,-0.0000002542,0.008,-0.0000002542,0.0072
-0.000000254,0.02,-0.000000118,0,-0.000000118,0,-0.000000254,0.008,-0.000000254,0.008,-0.000000254,0.0072
-0.0000002538,0.02,-0.0000001179,0,-0.0000001179,0,-0.0000002538,0.008,-0.0000002538,0.008,-0.0000002538,0.0072
-0.0000002536,0.02,-0.0000001178,0,-0.0000001178,-0.008,-0.0000002536,0.008,-0.0000002536,0.008,-0.0000002536,0.008
-0.0000002534,0.04,-0.0000001177,0,-0.0000001177,-0.008,-0.0000002534,0.016,-0.0000002534,0.008,-0.0000002534,0.0088
-0.0000002532,0.04,-0.0000001176,0,-0.0000001176,-0.008,-0.0000002532,0.016,-0.0000002532,0.008,-0.0000002532,0.0096
-0.000000253,0.04,-0.0000001175,0,-0.0000001175,0,-0.000000253,0.016,-0.000000253,0,-0.000000253,0.0096
-0.0000002528,0.06,-0.0000001174,0,-0.0000001174,0,-0.0000002528,0.008,-0.0000002528,0,-0.0000002528,0.0104
-0.0000002526,0.04,-0.0000001173,0,-0.0000001173,0,-0.0000002526,0.008,-0.0000002526,0,-0.0000002526,0.0112
-0.0000002524,0.04,-0.0000001172,0,-0.0000001172,0,-0.0000002524,0.008,-0.0000002524,0,-0.0000002524,0.0104
-0.0000002522,0.02,-0.0000001171,0,-0.0000001171,0,-0.0000002522,0.008,-0.0000002522,0,-0.0000002522,0.0096
-0.000000252,0.02,-0.000000117,0,-0.000000117,0,-0.000000252,0,-0.000000252,-0.008,-0.000000252,0.0088
-0.0000002518,0.02,-0.0000001169,0,-0.0000001169,0,-0.0000002518,0,-0.0000002518,-0.008,-0.0000002518,0.0088
-0.0000002516,0.02,-0.0000001168,0,-0.0000001168,0,-0.0000002516,0,-0.0000002516,-0.008,-0.0000002516,0.008
-0.0000002514,0,-0.0000001167,0,-0.0000001167,0,-0.0000002514,0,-0.0000002514,-0.008,-0.0000002514,0.0072
-0.0000002512,0.02,-0.0000001166,0,-0.0000001166,0,-0.0000002512,0,-0.0000002512,0,-0.0000002512,0.0072
-0.000000251,0.02,-0.0000001165,0,-0.0000001165,0,-0.000000251,0,-0.000000251,0,-0.000000251,0.0072
-0.0000002508,0.02,-0.0000001164,0,-0.0000001164,0,-0.0000002508,0,-0.0000002508,0,-0.0000002508,0.0072
-0.0000002506,0.02,-0.0000001163,0,-0.0000001163,0.008,-0.0000002506,0,-0.0000002506,0.008,-0.0000002506,0.0072
-0.0000002504,0.02,-0.0000001162,0,-0.0000001162,0.008,-0.0000002504,0,-0.0000002504,0.008,-0.0000002504,0.0072
-0.0000002502,0.02,-0.0000001161,0,-0.0000001161,0.008,-0.0000002502,0.008,-0.0000002502,0.016,-0.0000002502,0.008
-0.00000025,0.02,-0.000000116,0,-0.000000116,0,-0.00000025,0.008,-0.00000025,0.016,-0.00000025,0.0088
-0.0000002498,0.02,-0.0000001159,0,-0.0000001159,0,-0.0000002498,0.016,-0.0000002498,0.016,-0.0000002498,0.0088
-0.0000002496,0.02,-0.0000001158,0,-0.0000001158,0,-0.0000002496,0.016,-0.0000002496,0.016,-0.0000002496,0.0096
-0.0000002494,0.02,-0.0000001157,0,-0.0000001157,0,-0.0000002494,0.016,-0.0000002494,0.016,-0.0000002494,0.0088
-0.0000002492,0.02,-0.0000001156,0,-0.0000001156,0,-0.0000002492,0.024,-0.0000002492,0.016,-0.0000002492,0.0088
-0.000000249,0.02,-0.0000001155,0,-0.0000001155,0,-0.000000249,0.024,-0.000000249,0.016,-0.000000249,0.0088
-0.0000002488,0.02,-0.0000001154,0,-0.0000001154,0,-0.0000002488,0.016,-0.0000002488,0.016,-0.0000002488,0.008
-0.0000002486,0.02,-0.0000001153,0,-0.0000001153,0,-0.0000002486,0.016,-0.0000002486,0.016,-0.0000002486,0.008
-0.0000002484,0.02,-0.0000001152,0,-0.0000001152,0,-0.0000002484,0.016,-0.0000002484,0.016,-0.0000002484,0.0072
-0.0000002482,0.02,-0.0000001151,0,-0.0000001151,0,-0.0000002482,0.016,-0.0000002482,0.016,-0.0000002482,0.0072
-0.000000248,0.02,-0.000000115,0,-0.000000115,0,-0.000000248,0.008,-0.000000248,0.008,-0.000000248,0.0072
-0.0000002478,0.02,-0.0000001149,0,-0.0000001149,0,-0.0000002478,0.008,-0.0000002478,0.008,-0.0000002478,0.0072
-0.0000002476,0.02,-0.0000001148,0,-0.0000001148,0,-0.0000002476,0.008,-0.0000002476,0,-0.0000002476,0.0072
-0.0000002474,0,-0.0000001147,0,-0.0000001147,0,-0.0000002474,0.008,-0.0000002474,0,-0.0000002474,0.0072
-0.0000002472,0,-0.0000001146,0.02,-0.0000001146,0,-0.0000002472,0.008,-0.0000002472,0,-0.0000002472,0.0072
-0.000000247,0.02,-0.0000001145,0.02,-0.0000001145,0,-0.000000247,0,-0.000000247,-0.008,-0.000000247,0.008
-0.0000002468,0.02,-0.0000001144,0.02,-0.0000001144,0,-0.0000002468,0,-0.0000002468,-0.008,-0.0000002468,0.008
-0.0000002466,0.02,-0.0000001143,0.02,-0.0000001143,0,-0.0000002466,-0.008,-0.0000002466,-0.008,-0.0000002466,0.0088
