comp(1),comp_corrected(1),raman_shift(1),vidro(5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(5-5),comp(3),comp_corrected(1),raman_shift(3),vidro(10-10),comp(4),comp_corrected(1),raman_shift(4),vidro(10-10)
271.5,282.5,-6826.801517,1.3282,321.5,332.5,-5075.18797,1.2093,371.5,382.5,-3921.568627,3.4221,421.5,432.5,-6143.79085,7.0427
272,283,-6764.260475,1.2974,322,333,-5030.03003,1.2369,372,383,-3887.438352,3.4343,422,433,-6109.660574,9.1068
272.5,283.5,-6701.940035,1.266,322.5,333.5,-4985.007496,1.2351,372.5,383.5,-3853.397074,3.446,422.5,433.5,-6075.619296,12.4132
273,284,-6639.839034,1.2754,323,334,-4940.11976,1.2155,373,384,-3819.444444,3.4562,423,434,-6041.666667,17.1863
273.5,284.5,-6577.956314,1.3491,323.5,334.5,-4895.366218,1.2002,373.5,384.5,-3785.580118,3.4634,423.5,434.5,-6007.802341,20.9108
274,285,-6516.290727,1.4781,324,335,-4850.746269,1.1984,374,385,-3751.803752,3.4736,424,435,-5974.025974,28.5315
274.5,285.5,-6454.841131,1.5004,324.5,335.5,-4806.259314,1.1792,374.5,385.5,-3718.115002,3.4827,424.5,435.5,-5940.337224,40.5617
275,286,-6393.606394,1.5546,325,336,-4761.904762,1.1732,375,386,-3684.513529,3.4882,425,436,-5906.735751,58.1704
275.5,286.5,-6332.58539,1.5668,325.5,336.5,-4717.682021,1.1856,375.5,386.5,-3650.998994,3.4945,425.5,436.5,-5873.221216,81.6353
276,287,-6271.777003,1.5229,326,337,-4673.590504,1.1774,376,387,-3617.571059,3.5007,426,437,-5839.793282,111.7521
276.5,287.5,-6211.180124,1.5828,326.5,337.5,-4629.62963,1.1976,376.5,387.5,-3584.229391,3.5067,426.5,437.5,-5806.451613,149.028
277,288,-6150.793651,1.4836,327,338,-4585.798817,1.1824,377,388,-3550.973654,3.5123,427,438,-5773.195876,200.9099
277.5,288.5,-6090.616489,1.4341,327.5,338.5,-4542.097489,1.1804,377.5,388.5,-3517.803518,3.5169,427.5,438.5,-5740.02574,265.0004
278,289,-6030.647553,1.42,328,339,-4498.525074,1.2017,378,389,-3484.718652,3.5196,428,439,-5706.940874,338.2476
278.5,289.5,-5970.885764,1.499,328.5,339.5,-4455.081001,1.2396,378.5,389.5,-3451.718728,3.5222,428.5,439.5,-5673.94095,417.666
279,290,-5911.330049,1.5533,329,340,-4411.764706,1.2832,379,390,-3418.803419,3.5301,429,440,-5641.025641,500.3986
