comprimento de onda (nm),(1) 2.5-2.5,(1) 2.5-5,(1) 2.5-10,(2) 2.5-10,(2) 5-10,(2) 10-10,(2) 15-10,(3) 10-2.5,(3) 10-5,(3) 10-10,(3) 10-15,(3) 10-20,(4) 5-2.5,(4) 5-5,(4) 5-10,(5) 15-2.5,(5) 15-5,(5) 15-10
386,1,4,12,9.929,9.7062,9.1,7.5007,0.3955,2.1035,9.1,18.6256,26.3804,0.3656,2.6825,9.9812,0.2297,1.4857,7.5007
386.5,0,4,12,9.8767,9.7735,9.1463,7.5432,0.36,2.1035,9.1463,18.7432,26.5571,0.3361,2.6036,10.0034,0.1989,1.4961,7.5432
387,0,3,12,9.7839,9.7177,9.2166,7.5855,0.3402,2.0746,9.2166,18.8134,26.6747,0.4855,2.5104,9.9861,0.2053,1.5307,7.5855
387.5,1,3,12,9.8156,9.665,9.2184,7.6025,0.3558,2.0202,9.2184,18.854,26.8075,0.405,2.3659,9.9183,0.2052,1.4943,7.6025
388,1,3,11,9.7353,9.6175,9.2032,7.6273,0.4063,2.0061,9.2032,18.8645,26.9109,0.3855,2.277,9.8081,0.2045,1.4546,7.6273
388.5,1,3,11,9.6722,9.49,9.1944,7.625,0.3989,2.0259,9.1944,18.8327,26.9631,0.2138,2.2839,9.6336,0.2036,1.4683,7.625
389,0,3,11,9.4236,9.258,9.1309,7.6153,0.4043,2.0087,9.1309,18.7572,26.9694,0.3086,2.2224,9.3618,0.2065,1.4901,7.6153
389.5,0,2,11,9.3282,9.0694,9.0214,7.5769,0.3682,2.0292,9.0214,18.6692,26.9476,0.2885,2.0973,9.0319,0.209,1.4969,7.5769
390,0,2,10,9.0991,8.7383,8.9303,7.532,0.339,2.0175,8.9303,18.5373,26.9146,0.3745,1.9273,8.6666,0.2101,1.4867,7.532
390.5,0,2,10,8.7981,8.3963,8.8324,7.4791,0.3183,1.9995,8.8324,18.4275,26.5208,0.2642,1.7924,8.3619,0.2075,1.4987,7.4791
391,1,1,9,8.4064,8.0289,8.688,7.4043,0.3083,1.9513,8.688,18.2605,26.2339,0.279,1.6623,7.9968,0.2121,1.5156,7.4043
391.5,0,1,8,7.9707,7.611,8.5359,7.3418,0.2516,1.8805,8.5359,18.079,26.0107,0.2173,1.4865,7.6897,0.2149,1.521,7.3418
392,0,1,8,7.5066,7.3184,8.3419,7.2571,0.2803,1.8254,8.3419,17.8507,25.8259,0.1096,1.3235,7.3325,0.2127,1.5088,7.2571
