comprimento de onda (nm),(1) 2.5-2.5,(1) 2.5-5,(1) 2.5-10,(2) 2.5-10,(2) 5-10,(2) 10-10,(2) 15-10,(3) 10-2.5,(3) 10-5,(3) 10-10,(3) 10-15,(3) 10-20,(4) 5-2.5,(4) 5-5,(4) 5-10,(5) 15-2.5,(5) 15-5,(5) 15-10
345,1,8,335,333.4277,387.6523,520.1199,488.5587,18.6038,116.1928,520.1199,963.3477,999.999,1.5907,33.086,384.4044,11.5404,98.6573,488.5587
345.5,0,3,286,283.4211,339.5878,487.5384,473.5411,17.0251,105.4423,487.5384,941.7928,999.999,0.9321,22.1296,336.4754,11.1257,95.7667,473.5411
346,0,1,240,235.5001,293.3772,453.3568,457.0742,15.3369,94.2445,453.3568,917.6242,999.999,0.4649,13.7059,290.785,10.5728,92.3611,457.0742
346.5,0,1,198,192.4324,249.9157,418.0407,439.0345,13.2206,82.3299,418.0407,889.8056,999.999,0.3389,8.5534,247.4722,10.0896,88.1294,439.0345
347,0,1,160,155.1083,209.0978,381.7087,419.2992,11.1323,70.0208,381.7087,858.1776,999.999,0.2633,5.0167,207.4117,9.6562,83.2614,419.2992
347.5,0,1,122,117.5061,169.6137,345.0607,398.2189,8.7531,58.5371,345.0607,823.1264,988.5901,0.2175,2.685,168.6954,8.9601,78.2932,398.2189
348,0,1,88,85.0797,134.1224,309.2793,376.3494,6.4129,47.4542,309.2793,785.4753,973.1735,0.1219,1.4378,133.3129,8.2209,72.7066,376.3494
348.5,0,1,61,58.0152,103.5841,274.8096,354.6222,4.3768,37.5847,274.8096,745.0982,955.5627,0.0844,1.0928,102.9848,7.4477,67.0501,354.6222
349,0,1,40,36.7948,77.8903,241.8321,332.1074,3.1805,28.757,241.8321,701.6093,934.8564,-0.0226,0.9746,77.2932,7.0927,61.1682,332.1074
349.5,0,1,22,20.4271,56.5785,210.3926,309.1512,2.1895,21.6616,210.3926,655.7085,911.3138,0,0.9744,55.4592,6.5209,55.2142,309.1512
350,0,1,10,8.5564,38.9323,181.4467,285.7219,1.2939,16.0761,181.4467,608.4567,884.979,0,1.081,38.1968,5.7227,49.6628,285.7219
350.5,0,1,2,0.4766,25.5725,155.2413,263.0186,0.6479,11.7937,155.2413,560.2326,856.1971,0,1.1582,25.0503,4.8434,44.3487,263.0186
351,0,1,-2,-2.9227,16.0485,131.3823,240.624,0.4091,8.495,131.3823,512.0245,825.3431,0,1.1573,15.6689,4.1976,39.3729,240.624
351.5,0,1,-3,-3.8593,9.0111,109.9805,218.4128,0.2677,5.615,109.9805,464.1229,792.2669,-0.0031,1.0892,9.0523,3.657,34.1185,218.4128
352,0,1,-2,-2.9716,4.8493,91.6768,196.533,0.2017,3.6493,91.6768,417.3317,756.9801,9.00E-04,0.9922,5.1376,3.1093,29.0422,196.533
352.5,0,1,-1,-1.6444,2.7953,76.1313,175.9721,0.1992,2.732,76.1313,372.3545,719.6509,0.0634,0.9352,2.9233,2.6023,24.5901,175.9721
353,0,1.4056,1,0.1722,1.9642,62.6203,156.1977,0.2019,1.8447,62.6203,330.1919,680.6666,0.0774,0.8929,2.2357,1.9918,20.1086,156.1977
353.5,0,1,3,1.5989,1.5248,50.2565,137.3247,0.2027,1.3972,50.2565,291.7489,640.466,0.0429,0.8819,1.8765,1.4299,15.9312,137.3247
354,0,1,4,2.1916,1.1319,39.2368,118.846,0.207,1.0545,39.2368,256.9223,599.1586,-0.0115,0.8759,1.3324,0.9085,11.9918,118.846
354.5,0,1,4,2.7084,1.2665,30.3308,102.0742,0.2059,0.7963,30.3308,225.323,556.9317,0,0.8327,1.6328,0.5897,8.6479,102.0742
355,0,1,5,3.1556,1.889,23.4563,86.9756,0.2025,0.7388,23.4563,195.49,514.2788,0,0.8551,2.3385,0.3649,6.093,86.9756
355.5,0,1,5,3.3702,2.0321,17.2768,72.7803,0.1954,0.7581,17.2768,168.7264,471.5348,0,0.9318,2.522,0.2322,4.2532,72.7803
356,0,1,5,3.4946,2.2833,12.3742,60.3525,0.1951,0.7589,12.3742,143.7882,429.1255,0,0.9543,2.7763,0.19,3.082,60.3525
356.5,0,1,5,3.5004,2.3754,8.4077,49.2368,0.1962,0.742,8.4077,120.8601,387.396,-0.0061,0.9698,2.9249,0.1869,2.1116,49.2368
357,0,1,5,3.495,2.4863,5.5308,39.7065,0.2011,0.7044,5.5308,100.5912,346.7719,0.0016,0.8777,2.9968,0.1485,1.4457,39.7065
357.5,0,1,5,3.4783,2.5735,3.8604,31.9011,0.1957,0.7186,3.8604,83.3062,307.6452,0.1253,0.8753,3.0543,0.107,1.1468,31.9011
358,0,1,5,3.4757,2.6345,3.0526,25.7141,0.19,0.749,3.0526,67.2728,270.4276,0.1531,0.8824,3.0314,0.0963,1.0263,25.7141
358.5,0,1,5,3.4762,2.6521,2.9354,20.9161,0.1907,0.7749,2.9354,53.7084,235.561,0.0848,0.8361,2.9928,0.1359,0.8885,20.9161
359,0,0,5,3.4794,2.6499,2.7239,16.5879,0.2037,0.7831,2.7239,42.0208,203.4597,-0.0473,0.7965,2.9312,0.1688,0.7641,16.5879
359.5,0,1,5,3.4776,2.6723,2.6443,13.0799,0.2006,0.7814,2.6443,32.4839,174.5331,0.0984,0.7952,2.8866,0.1503,0.7182,13.0799
360,0,1,5,3.4951,2.649,2.8298,10.4854,0.1901,0.8233,2.8298,25.1159,149.2219,0.1394,0.8463,2.8741,0.1297,0.697,10.4854
360.5,0,1,5,3.5265,2.588,3.0847,8.5652,0.19,0.8248,3.0847,19.5498,127.0209,0.0757,0.9673,2.8253,0.1281,0.6786,8.5652
361,0,1,5,3.5467,2.5539,3.1801,6.8152,0.1953,0.7828,3.1801,15.7056,107.4139,0.0353,1.0232,2.7823,0.1263,0.6697,6.8152
361.5,0,1,5,3.5218,2.478,3.1896,5.2106,0.1996,0.732,3.1896,12.1596,89.8547,0.2525,0.9935,2.7564,0.099,0.6543,5.2106
362,0,1,5,3.5343,2.4767,3.2523,4.1506,0.2008,0.6963,3.2523,9.4955,74.8803,0.2662,0.8062,2.7061,0.1126,0.6362,4.1506
362.5,0,1,5,3.5296,2.4795,3.3478,3.6299,0.1913,0.6993,3.3478,7.8675,62.277,0.1011,0.7171,2.7119,0.1127,0.6366,3.6299
363,0,1,5,3.5012,2.4785,3.3753,3.2612,0.1862,0.6893,3.3753,7.0085,51.8217,-0.0309,0.7069,2.7186,0.1239,0.6401,3.2612
363.5,0,1,5,3.4808,2.4703,3.4252,3.1426,0.1879,0.666,3.4252,6.0358,41.2639,0,0.5942,2.6909,0.1271,0.636,3.1426
364,0,1,5,3.4812,2.474,3.4223,2.9665,0.1975,0.6613,3.4223,4.9985,33.0903,0,0.6049,2.72,0.1201,0.6374,2.9665
364.5,0,1,5,3.4792,2.4936,3.4141,2.9338,0.1952,0.6549,3.4141,4.61,26.4022,0,0.6038,2.7846,0.1126,0.6415,2.9338
365,0,1,5,3.4562,2.4873,3.4275,2.9789,0.2051,0.6509,3.4275,4.8281,21.2158,0,0.7018,2.7823,0.1153,0.6392,2.9789
365.5,0,1,5,3.4464,2.5404,3.4138,3.0867,0.2094,0.6159,3.4138,5.1536,17.3204,0,0.7906,2.7926,0.1195,0.6404,3.0867
366,0,2,5,3.4391,2.5468,3.3987,3.2024,0.2003,0.6014,3.3987,5.7064,13.6419,0,0.7652,2.8235,0.0964,0.6442,3.2024
366.5,0,2,5,3.4364,2.5586,3.4021,3.2755,0.1943,0.6022,3.4021,6.0446,10.369,0,0.7541,2.8369,0.0932,0.6413,3.2755
367,0,2,5,3.4189,2.5686,3.4074,3.3251,0.1978,0.6173,3.4074,6.4128,8.3765,0,0.7631,2.8365,0.1233,0.6292,3.3251
367.5,0,1,5,3.4216,2.5299,3.404,3.3609,0.2066,0.6275,3.404,6.8155,7.51,0,0.8377,2.8603,0.143,0.6458,3.3609
