comp(1),comp_corrected(1),raman_shift(1),vidro(ex 350 5-5),plastico(ex 350 5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(ex 400 5-5),plastico(ex 400 5-5),comp(3),comp_corrected(3),raman_shift(3),vidro(ex 450 10-10),plastico(ex 450 10-10),comp(4),comp_corrected(4),raman_shift(4),vidro(ex 500 10-10),plastico(ex 500 10-10)
400,411,4240.528328,0.8239,2.1232,450,461,669.0997567,1.2048,1.5093,500,511,-2108.678021,0.4298,1.5641,600,611,-4330.900243,0.2057,0.4985
400.5,411.5,4270.091998,0.8463,2.1091,450.5,461.5,698.6634265,1.2136,1.5957,500.5,511.5,-2079.114351,0.4377,1.5316,600.5,611.5,-4301.336574,0.1979,0.4905
401,412,4299.583911,0.8001,2.08,451,462,728.1553398,1.2147,1.5812,501,512,-2049.622438,0.4492,1.5513,601,612,-4271.84466,0.1906,0.4841
401.5,412.5,4329.004329,0.7374,2.0842,451.5,462.5,757.5757576,1.2292,1.6203,501.5,512.5,-2020.20202,0.4507,1.545,601.5,612.5,-4242.424242,0.1878,0.4774
402,413,4358.353511,0.7127,2.066,452,463,786.9249395,1.1154,1.5526,502,513,-1990.852838,0.4535,1.5353,602,613,-4213.075061,0.1846,0.4698
402.5,413.5,4387.631715,0.6638,2.0883,452.5,463.5,816.2031439,1.1766,1.6001,502.5,513.5,-1961.574634,0.4596,1.5262,602.5,613.5,-4183.796856,0.1815,0.4653
403,414,4416.839199,0.6945,2.0651,453,464,845.410628,1.1538,1.5998,503,514,-1932.36715,0.4725,1.5274,603,614,-4154.589372,0.1799,0.4594
403.5,414.5,4445.976219,0.6925,2.082,453.5,464.5,874.5476478,1.0508,1.5472,503.5,514.5,-1903.23013,0.4718,1.5254,603.5,614.5,-4125.452352,0.1793,0.4515
404,415,4475.043029,0.7889,2.131,454,465,903.6144578,1.0132,1.4766,504,515,-1874.16332,0.4723,1.5341,604,615,-4096.385542,0.1789,0.4458
404.5,415.5,4504.039883,0.8617,2.2598,454.5,465.5,932.6113117,1.0159,1.4071,504.5,515.5,-1845.166466,0.4904,1.5375,604.5,615.5,-4067.388688,0.1802,0.4375
405,416,4532.967033,0.8713,2.1662,455,466,961.5384615,0.9214,1.3852,505,516,-1816.239316,0.5134,1.5279,605,616,-4038.461538,0.1791,0.4325
405.5,416.5,4561.82473,0.8516,2.1329,455.5,466.5,990.3961585,0.917,1.3912,505.5,516.5,-1787.381619,0.5255,1.537,605.5,616.5,-4009.603842,0.177,0.4241
406,417,4590.613224,0.8223,2.0876,456,467,1019.184652,0.819,1.3988,506,517,-1758.593125,0.5413,1.5317,606,617,-3980.815348,0.175,0.4146
406.5,417.5,4619.332763,0.8532,2.0837,456.5,467.5,1047.904192,0.7548,1.4451,506.5,517.5,-1729.873586,0.5521,1.5177,606.5,617.5,-3952.095808,0.1681,0.4025
407,418,4647.983595,0.9056,2.0849,457,468,1076.555024,0.6292,1.3275,507,518,-1701.222754,0.5761,1.5237,607,618,-3923.444976,0.1594,0.3886
407.5,418.5,4676.565967,0.829,2.1178,457.5,468.5,1105.137395,0.6609,1.25,507.5,518.5,-1672.640382,0.5976,1.5282,607.5,618.5,-3894.862605,0.147,0.3787
408,419,4705.080123,0.7798,2.0937,458,469,1133.651551,0.5605,1.2087,508,519,-1644.126226,0.6242,1.5493,608,619,-3866.348449,0.1347,0.3667
408.5,419.5,4733.526307,0.7141,2.1051,458.5,469.5,1162.097735,0.4667,1.0009,508.5,519.5,-1615.680042,0.6523,1.5514,608.5,619.5,-3837.902265,0.1189,0.3516
409,420,4761.904762,0.7981,2.1205,459,470,1190.47619,0.4709,0.8447,509,520,-1587.301587,0.672,1.5532,609,620,-3809.52381,0.1046,0.3415
409.5,420.5,4790.21573,0.8769,2.1825,459.5,470.5,1218.787158,0.4768,0.7294,509.5,520.5,-1558.99062,0.6914,1.5651,609.5,620.5,-3781.212842,0.0906,0.3327
410,421,4818.45945,0.7977,2.0492,460,471,1247.030879,0.3851,0.6613,510,521,-1530.746899,0.6966,1.5806,610,621,-3752.969121,0.0764,0.3257
410.5,421.5,4846.636163,0.7396,2.0322,460.5,471.5,1275.207592,0.4641,0.5977,510.5,521.5,-1502.570186,0.727,1.5932,610.5,621.5,-3724.792408,0.0624,0.3191
411,422,4874.746107,0.7367,2.0407,461,472,1303.317536,0.3998,0.6348,511,522,-1474.460242,0.7497,1.6255,611,622,-3696.682464,0.051,0.314
411.5,422.5,4902.789518,0.7565,2.0922,461.5,472.5,1331.360947,0.3775,0.697,511.5,522.5,-1446.416831,0.7622,1.6313,611.5,622.5,-3668.639053,0.0422,0.3093
412,423,4930.766633,0.7366,2.1077,462,473,1359.338061,0.3707,0.6463,512,523,-1418.439716,0.7769,1.6561,612,623,-3640.661939,0.0326,0.3065
412.5,423.5,4958.677686,0.6465,2.1571,462.5,473.5,1387.249115,0.3797,0.6072,512.5,523.5,-1390.528663,0.7892,1.6745,612.5,623.5,-3612.750885,0.0251,0.3062
413,424,4986.522911,0.627,2.1791,463,474,1415.09434,0.385,0.6232,513,524,-1362.683438,0.8086,1.7003,613,624,-3584.90566,0.0191,0.3043
413.5,424.5,5014.302541,0.6113,2.1722,463.5,474.5,1442.873969,0.3672,0.4648,513.5,524.5,-1334.903808,0.8217,1.7071,613.5,624.5,-3557.126031,0.0161,0.3035
414,425,5042.016807,0.6712,2.1399,464,475,1470.588235,0.3814,0.4385,514,525,-1307.189542,0.8378,1.7269,614,625,-3529.411765,0.0153,0.3054
414.5,425.5,5069.665939,0.7283,2.141,464.5,475.5,1498.237368,0.3459,0.4614,514.5,525.5,-1279.54041,0.861,1.7444,614.5,625.5,-3501.762632,0.0148,0.3056
415,426,5097.250168,0.6785,2.041,465,476,1525.821596,0.3741,0.4404,515,526,-1251.956182,0.8807,1.7553,615,626,-3474.178404,0.0145,0.3058
415.5,426.5,5124.76972,0.7796,1.9736,465.5,476.5,1553.341149,0.4078,0.4539,515.5,526.5,-1224.436629,0.8951,1.7785,615.5,626.5,-3446.658851,0.0154,0.3049
416,427,5152.224824,0.8858,1.9552,466,477,1580.796253,0.3852,0.5402,516,527,-1196.981525,0.9127,1.7986,616,627,-3419.203747,0.0169,0.3038
416.5,427.5,5179.615706,0.8953,1.9339,466.5,477.5,1608.187135,0.4179,0.536,516.5,527.5,-1169.590643,0.9262,1.8004,616.5,627.5,-3391.812865,0.0163,0.3028
417,428,5206.94259,0.8764,1.8799,467,478,1635.514019,0.4782,0.6285,517,528,-1142.263759,0.9392,1.8249,617,628,-3364.485981,0.0158,0.3023
417.5,428.5,5234.205701,0.8755,1.9338,467.5,478.5,1662.77713,0.5067,0.644,517.5,528.5,-1115.000648,0.9525,1.8383,617.5,628.5,-3337.22287,0.015,0.3011
418,429,5261.405261,0.8079,1.998,468,479,1689.97669,0.5164,0.6897,518,529,-1087.801088,0.956,1.8556,618,629,-3310.02331,0.0159,0.3004
418.5,429.5,5288.541493,0.7809,1.9719,468.5,479.5,1717.112922,0.495,0.6558,518.5,529.5,-1060.664856,0.9668,1.8437,618.5,629.5,-3282.887078,0.0163,0.3006
419,430,5315.614618,0.7303,1.9699,469,480,1744.186047,0.4404,0.6104,519,530,-1033.591731,0.9623,1.8494,619,630,-3255.813953,0.0174,0.2998
419.5,430.5,5342.624855,0.7591,2.002,469.5,480.5,1771.196283,0.4112,0.6097,519.5,530.5,-1006.581494,0.9697,1.8559,619.5,630.5,-3228.803717,0.0181,0.3001
420,431,5369.572423,0.7478,1.9903,470,481,1798.143852,0.3812,0.5346,520,531,-979.6339263,0.9662,1.8508,620,631,-3201.856148,0.0191,0.2996
420.5,431.5,5396.45754,0.7985,1.94,470.5,481.5,1825.028969,0.312,0.4961,520.5,531.5,-952.7488091,0.9636,1.8453,620.5,631.5,-3174.971031,0.0195,0.2987
421,432,5423.280423,0.7267,1.9311,471,482,1851.851852,0.2794,0.4703,521,532,-925.9259259,0.9652,1.8291,621,632,-3148.148148,0.0204,0.2984
421.5,432.5,5450.041288,0.6313,1.8917,471.5,482.5,1878.612717,0.2386,0.3616,521.5,532.5,-899.165061,0.9531,1.8186,621.5,632.5,-3121.387283,0.0208,0.2993
422,433,5476.74035,0.492,1.8809,472,483,1905.311778,0.2812,0.4042,522,533,-872.4659995,0.9442,1.8135,622,633,-3094.688222,0.0211,0.3009
422.5,433.5,5503.377822,0.4264,1.8644,472.5,483.5,1931.94925,0.3027,0.383,522.5,533.5,-845.8285275,0.9337,1.7939,622.5,633.5,-3068.05075,0.0212,0.3016
423,434,5529.953917,0.4123,1.7933,473,484,1958.525346,0.32,0.3847,523,534,-819.2524322,0.9334,1.7953,623,634,-3041.474654,0.0214,0.3034
423.5,434.5,5556.468848,0.3965,1.7167,473.5,484.5,1985.040276,0.3598,0.2895,523.5,534.5,-792.7375016,0.9118,1.7802,623.5,634.5,-3014.959724,0.0229,0.3054
424,435,5582.922824,0.4342,1.6535,474,485,2011.494253,0.357,0.2634,524,535,-766.2835249,0.9002,1.7857,624,635,-2988.505747,0.0244,0.3073
424.5,435.5,5609.316057,0.5379,1.6605,474.5,485.5,2037.887486,0.359,0.3146,524.5,535.5,-739.8902921,0.8821,1.7934,624.5,635.5,-2962.112514,0.0249,0.3087
425,436,5635.648755,0.5497,1.6712,475,486,2064.220183,0.3274,0.3078,525,536,-713.5575943,0.8779,1.78,625,636,-2935.779817,0.0273,0.3106
425.5,436.5,5661.921126,0.4782,1.6366,475.5,486.5,2090.492554,0.2989,0.3054,525.5,536.5,-687.2852234,0.8662,1.7709,625.5,636.5,-2909.507446,0.0288,0.3123
426,437,5688.133377,0.3849,1.6148,476,487,2116.704805,0.2488,0.3038,526,537,-661.0729723,0.8435,1.7661,626,637,-2883.295195,0.0301,0.3143
426.5,437.5,5714.285714,0.2891,1.6172,476.5,487.5,2142.857143,0.1942,0.2492,526.5,537.5,-634.9206349,0.8274,1.7395,626.5,637.5,-2857.142857,0.0323,0.316
427,438,5740.378343,0.1776,1.6475,477,488,2168.949772,0.1848,0.2447,527,538,-608.8280061,0.8132,1.7276,627,638,-2831.050228,0.0354,0.3175
427.5,438.5,5766.411468,0.0962,1.6232,477.5,488.5,2194.982896,0.1606,0.2071,527.5,538.5,-582.7948815,0.795,1.7017,627.5,638.5,-2805.017104,0.0372,0.3182
428,439,5792.385291,0.2251,1.6529,478,489,2220.95672,0.1683,0.2095,528,539,-556.821058,0.781,1.6746,628,639,-2779.04328,0.0388,0.3197
428.5,439.5,5818.300016,0.3278,1.7562,478.5,489.5,2246.871445,0.167,0.1576,528.5,539.5,-530.906333,0.7706,1.6302,628.5,639.5,-2753.128555,0.0405,0.3216
429,440,5844.155844,0.4862,1.8413,479,490,2272.727273,0.1804,0.2188,529,540,-505.0505051,0.7464,1.6027,629,640,-2727.272727,0.043,0.3231
429.5,440.5,5869.952976,0.5654,1.9862,479.5,490.5,2298.524404,0.1984,0.2731,529.5,540.5,-479.2533737,0.7207,1.567,629.5,640.5,-2701.475596,0.0445,0.3247
430,441,5895.69161,0.6212,2.0869,480,491,2324.263039,0.2262,0.275,530,541,-453.5147392,0.6931,1.5401,630,641,-2675.736961,0.045,0.3263
430.5,441.5,5921.371946,0.6603,2.1213,480.5,491.5,2349.943375,0.2827,0.2857,530.5,541.5,-427.8344029,0.6754,1.4975,630.5,641.5,-2650.056625,0.0464,0.3278
431,442,5946.994182,0.7098,2.1351,481,492,2375.565611,0.2625,0.272,531,542,-402.2121669,0.6538,1.4495,631,642,-2624.434389,0.0473,0.3289
431.5,442.5,5972.558515,0.7088,2.1231,481.5,492.5,2401.129944,0.2539,0.294,531.5,542.5,-376.6478343,0.6245,1.4194,631.5,642.5,-2598.870056,0.0471,0.3317
432,443,5998.06514,0.7181,2.0364,482,493,2426.636569,0.2275,0.3083,532,543,-351.1412089,0.5924,1.385,632,643,-2573.363431,0.0465,0.3334
432.5,443.5,6023.514254,0.6218,1.9463,482.5,493.5,2452.085682,0.2218,0.2827,532.5,543.5,-325.6920957,0.5658,1.3524,632.5,643.5,-2547.914318,0.0463,0.3346
433,444,6048.906049,0.6889,1.8758,483,494,2477.477477,0.1902,0.352,533,544,-300.3003003,0.5418,1.3324,633,644,-2522.522523,0.0469,0.3351
433.5,444.5,6074.24072,0.7022,1.8753,483.5,494.5,2502.812148,0.1646,0.3283,533.5,544.5,-274.9656293,0.5148,1.3039,633.5,644.5,-2497.187852,0.0473,0.3349
434,445,6099.518459,0.7267,1.7922,484,495,2528.089888,0.1789,0.3619,534,545,-249.6878901,0.4915,1.296,634,645,-2471.910112,0.0475,0.3351
434.5,445.5,6124.739458,0.7572,1.7946,484.5,495.5,2553.310887,0.1827,0.3834,534.5,545.5,-224.4668911,0.4695,1.2945,634.5,645.5,-2446.689113,0.0468,0.3359
435,446,6149.903908,0.7876,1.7264,485,496,2578.475336,0.2114,0.3695,535,546,-199.3024415,0.4551,1.2657,635,646,-2421.524664,0.047,0.3363
435.5,446.5,6175.011998,0.7669,1.6947,485.5,496.5,2603.583427,0.253,0.3571,535.5,546.5,-174.1943511,0.4382,1.2585,635.5,646.5,-2396.416573,0.0456,0.3363
436,447,6200.063918,0.7144,1.7472,486,497,2628.635347,0.2657,0.3438,536,547,-149.142431,0.4155,1.2499,636,647,-2371.364653,0.0448,0.3371
436.5,447.5,6225.059856,0.6586,1.7863,486.5,497.5,2653.631285,0.2652,0.3463,536.5,547.5,-124.1464929,0.4143,1.2387,636.5,647.5,-2346.368715,0.0457,0.3376
437,448,6250,0.659,1.7516,487,498,2678.571429,0.2561,0.3619,537,548,-99.20634921,0.4079,1.233,637,648,-2321.428571,0.0463,0.3371
437.5,448.5,6274.884536,0.5711,1.849,487.5,498.5,2703.455964,0.2395,0.3868,537.5,548.5,-74.32181345,0.3993,1.2238,637.5,648.5,-2296.544036,0.0458,0.3368
438,449,6299.713649,0.5022,1.9418,488,499,2728.285078,0.1803,0.4285,538,549,-49.49269983,0.3925,1.2211,638,649,-2271.714922,0.0459,0.3387
438.5,449.5,6324.487526,0.4328,1.9567,488.5,499.5,2753.058954,0.2206,0.4121,538.5,549.5,-24.71882338,0.384,1.2152,638.5,649.5,-2246.941046,0.0462,0.3408
439,450,6349.206349,0.4416,1.845,489,500,2777.777778,0.2252,0.4035,539,550,0,0.3711,1.2254,639,650,-2222.222222,0.0459,0.3421
439.5,450.5,6373.870303,0.4515,1.7815,489.5,500.5,2802.441731,0.2741,0.4061,539.5,550.5,24.66395363,0.3607,1.2266,639.5,650.5,-2197.558269,0.0452,0.343
440,451,6398.479569,0.4687,1.7494,490,501,2827.050998,0.3149,0.4583,540,551,49.27322,0.3588,1.2173,640,651,-2172.949002,0.0451,0.3452
440.5,451.5,6423.03433,0.4323,1.7107,490.5,501.5,2851.605759,0.3916,0.4583,540.5,551.5,73.8279808,0.3497,1.2067,640.5,651.5,-2148.394241,0.0462,0.3471
441,452,6447.534766,0.419,1.7222,491,502,2876.106195,0.4284,0.4692,541,552,98.32841691,0.3299,1.1784,641,652,-2123.893805,0.047,0.3488
441.5,452.5,6471.981058,0.4496,1.7888,491.5,502.5,2900.552486,0.4422,0.4924,541.5,552.5,122.7747084,0.3144,1.1717,641.5,652.5,-2099.447514,0.0479,0.3516
442,453,6496.373384,0.5831,1.8161,492,503,2924.944812,0.4243,0.5696,542,553,147.1670346,0.3008,1.1456,642,653,-2075.055188,0.049,0.3526
442.5,453.5,6520.711923,0.6641,1.8674,492.5,503.5,2949.283352,0.3742,0.5788,542.5,553.5,171.5055739,0.2936,1.1289,642.5,653.5,-2050.716648,0.0503,0.3531
443,454,6544.996853,0.6765,1.9345,493,504,2973.568282,0.2995,0.5399,543,554,195.7905042,0.285,1.1144,643,654,-2026.431718,0.0521,0.3525
443.5,454.5,6569.228351,0.6554,1.9054,493.5,504.5,2997.79978,0.3091,0.5317,543.5,554.5,220.0220022,0.2749,1.0976,643.5,654.5,-2002.20022,0.0527,0.3537
444,455,6593.406593,0.5735,1.8497,494,505,3021.978022,0.3174,0.453,544,555,244.2002442,0.2631,1.1,644,655,-1978.021978,0.0537,0.3571
444.5,455.5,6617.531755,0.482,1.7999,494.5,505.5,3046.103183,0.3512,0.4479,544.5,555.5,268.3254055,0.2572,1.088,644.5,655.5,-1953.896817,0.0541,0.3588
445,456,6641.60401,0.4749,1.7978,495,506,3070.175439,0.3911,0.4767,545,556,292.3976608,0.2506,1.0656,645,656,-1929.824561,0.0542,0.3601
445.5,456.5,6665.623533,0.4683,1.6964,495.5,506.5,3094.194962,0.4528,0.4746,545.5,556.5,316.4171839,0.255,1.0595,645.5,656.5,-1905.805038,0.0556,0.363
446,457,6689.590497,0.4733,1.6477,496,507,3118.161926,0.4346,0.5298,546,557,340.3841478,0.2563,1.0525,646,657,-1881.838074,0.057,0.3652
446.5,457.5,6713.505074,0.5164,1.6864,496.5,507.5,3142.076503,0.4851,0.6095,546.5,557.5,364.298725,0.2557,1.045,646.5,657.5,-1857.923497,0.0582,0.3675
447,458,6737.367436,0.5702,1.6682,497,508,3165.938865,0.4632,0.6816,547,558,388.1610869,0.2556,1.0378,647,658,-1834.061135,0.0596,0.3703
447.5,458.5,6761.177754,0.6027,1.6468,497.5,508.5,3189.749182,0.4229,0.6737,547.5,558.5,411.9714043,0.2576,1.0405,647.5,658.5,-1810.250818,0.0595,0.3722
448,459,6784.936197,0.602,1.6446,498,509,3213.507625,0.3846,0.6743,548,559,435.7298475,0.2579,1.0443,648,659,-1786.492375,0.0599,0.3756
448.5,459.5,6808.642935,0.6051,1.6165,498.5,509.5,3237.214363,0.3699,0.6729,548.5,559.5,459.4365857,0.2488,1.0321,648.5,659.5,-1762.785637,0.0622,0.3808
449,460,6832.298137,0.5951,1.5887,499,510,3260.869565,0.3602,0.6642,549,560,483.0917874,0.249,1.021,649,660,-1739.130435,0.0628,0.385
449.5,460.5,6855.90197,0.6714,1.4268,499.5,510.5,3284.473398,0.3183,0.6391,549.5,560.5,506.6956207,0.2483,0.9921,649.5,660.5,-1715.526602,0.0647,0.3817
450,461,6879.454602,0.765,1.165,500,511,3308.02603,0.33,0.686,550,561,530.2482526,0.25,1.051,650,661,-1691.97397,0.073,0.393
