(1)comp,(1)comp_ajuste,(1)raman,v_350_5-5,p_350_5-5,(2)comp,(2)comp_ajuste,(2)raman,v_400_5-5,p_400_5-5,(3)comp,(3)comp_ajuste,(3)raman,v_450_10-10,p_450_10-10,(4)comp,(4)comp_ajuste,(4)raman,v_500_10-10,p_500_10-10
386.5,397.5,3414.195867,2.0043,2.6676,436.5,447.5,2653.631285,0.1328,0.7943,486.5,497.5,2121.71971,0.6525,1.3693,586.5,597.5,3263.598326,0.2668,0.5028
387,398,3445.800431,1.9335,2.7208,437,448,2678.571429,0.1361,0.8152,487,498,2141.900937,0.646,1.346,587,598,3277.591973,0.2735,0.5075
387.5,398.5,3477.325686,1.8233,2.5716,437.5,448.5,2703.455964,0.1636,0.862,487.5,498.5,2162.041681,0.6381,1.3376,587.5,598.5,3291.562239,0.2788,0.5121
388,399,3508.77193,1.7776,2.6005,438,449,2728.285078,0.1905,0.9317,488,499,2182.142062,0.6305,1.3263,588,599,3305.509182,0.2863,0.5148
388.5,399.5,3540.13946,1.6587,2.5552,438.5,449.5,2753.058954,0.2078,0.9846,488.5,499.5,2202.202202,0.6214,1.3205,588.5,599.5,3319.432861,0.2943,0.5172
389,400,3571.428571,1.5398,2.4583,439,450,2777.777778,0.1995,1.0109,489,500,2222.222222,0.6184,1.3057,589,600,3333.333333,0.2976,0.5175
389.5,400.5,3602.639558,1.4811,2.2205,439.5,450.5,2802.441731,0.1633,0.9886,489.5,500.5,2242.202242,0.622,1.3,589.5,600.5,3347.210658,0.298,0.5139
390,401,3633.772711,1.4899,2.1365,440,451,2827.050998,0.2176,0.8785,490,501,2262.142382,0.627,1.2823,590,601,3361.064892,0.3,0.511
390.5,401.5,3664.828322,1.5401,2.0226,440.5,451.5,2851.605759,0.2589,0.8859,490.5,501.5,2282.042761,0.6271,1.2665,590.5,601.5,3374.896093,0.2988,0.5096
391,402,3695.806681,1.5126,1.9022,441,452,2876.106195,0.234,0.8769,491,502,2301.903497,0.6213,1.2537,591,602,3388.704319,0.2969,0.506
391.5,402.5,3726.708075,1.5216,1.7572,441.5,452.5,2900.552486,0.2654,0.8515,491.5,502.5,2321.72471,0.6169,1.2353,591.5,602.5,3402.489627,0.2903,0.4966
392,403,3757.53279,1.4903,1.7008,442,453,2924.944812,0.2821,0.8845,492,503,2341.506516,0.6173,1.2324,592,603,3416.252073,0.2843,0.4889
392.5,403.5,3788.281112,1.4571,1.5244,442.5,453.5,2949.283352,0.3244,0.9608,492.5,503.5,2361.249035,0.6132,1.2298,592.5,603.5,3429.991715,0.2755,0.4828
393,404,3818.953324,1.2856,1.5637,443,454,2973.568282,0.3913,1.0134,493,504,2380.952381,0.6108,1.2295,593,604,3443.708609,0.2658,0.4781
393.5,404.5,3849.549709,1.1286,1.5531,443.5,454.5,2997.79978,0.445,1.062,493.5,504.5,2400.616672,0.611,1.2329,593.5,604.5,3457.402812,0.2555,0.4737
394,405,3880.070547,0.9545,1.5323,444,455,3021.978022,0.4874,1.1115,494,505,2420.242024,0.6066,1.2377,594,605,3471.07438,0.2467,0.4702
394.5,405.5,3910.516118,0.7798,1.4724,444.5,455.5,3046.103183,0.5577,1.1673,494.5,505.5,2439.828553,0.602,1.219,594.5,605.5,3484.723369,0.2371,0.47
395,406,3940.8867,0.6535,1.5485,445,456,3070.175439,0.6805,1.1691,495,506,2459.376372,0.6003,1.2134,595,606,3498.349835,0.2247,0.4668
395.5,406.5,3971.182569,0.5219,1.5851,445.5,456.5,3094.194962,0.7621,1.2325,495.5,506.5,2478.885598,0.6021,1.2088,595.5,606.5,3511.953833,0.214,0.4651
396,407,4001.404001,0.4127,1.5259,446,457,3118.161926,0.831,1.2635,496,507,2498.356345,0.6057,1.2165,596,607,3525.53542,0.204,0.4678
396.5,407.5,4031.551271,0.4463,1.4768,446.5,457.5,3142.076503,0.9382,1.2122,496.5,507.5,2517.788725,0.6057,1.2193,596.5,607.5,3539.09465,0.1937,0.4716
397,408,4061.62465,0.4705,1.4206,447,458,3165.938865,0.9811,1.1778,497,508,2537.182852,0.6041,1.2152,597,608,3552.631579,0.1866,0.4752
397.5,408.5,4091.62441,0.5015,1.4106,447.5,458.5,3189.749182,1.0234,1.1733,497.5,508.5,2556.53884,0.608,1.2254,597.5,608.5,3566.146261,0.1784,0.4785
398,409,4121.550821,0.4712,1.3862,448,459,3213.507625,1.0767,1.1632,498,509,2575.8568,0.6064,1.2234,598,609,3579.638752,0.1723,0.4805
398.5,409.5,4151.404151,0.5362,1.312,448.5,459.5,3237.214363,1.1012,1.1633,498.5,509.5,2595.136844,0.6084,1.2213,598.5,609.5,3593.109106,0.1647,0.4829
399,410,4181.184669,0.4996,1.3024,449,460,3260.869565,1.1186,1.1814,499,510,2614.379085,0.6087,1.2218,599,610,3606.557377,0.1573,0.4858
399.5,410.5,4210.89264,0.4312,1.3381,449.5,460.5,3284.473398,1.1337,1.2024,499.5,510.5,2633.583633,0.61,1.2292,599.5,610.5,3619.98362,0.1533,0.489
400,411,4240.528328,0.4039,1.4481,450,461,3308.02603,1.087,1.2181,500,511,2652.750598,0.605,1.2258,600,611,3633.387889,0.1497,0.489
400.5,411.5,4270.091998,0.3339,1.4788,450.5,461.5,3331.527627,1.0994,1.2479,500.5,511.5,2671.880091,0.6004,1.2228,600.5,611.5,3646.770237,0.144,0.4904
401,412,4299.583911,0.3067,1.4487,451,462,3354.978355,1.1358,1.2764,501,512,2690.972222,0.5952,1.211,601,612,3660.130719,0.1395,0.4849
401.5,412.5,4329.004329,0.3325,1.4628,451.5,462.5,3378.378378,1.1192,1.258,501.5,512.5,2710.0271,0.5991,1.2088,601.5,612.5,3673.469388,0.1342,0.4737
402,413,4358.353511,0.3287,1.4718,452,463,3401.727862,1.1087,1.2516,502,513,2729.044834,0.6045,1.2174,602,613,3686.786297,0.1293,0.4649
402.5,413.5,4387.631715,0.3137,1.5087,452.5,463.5,3425.026969,1.0934,1.2654,502.5,513.5,2748.025533,0.5991,1.2072,602.5,613.5,3700.0815,0.1235,0.4558
403,414,4416.839199,0.306,1.4609,453,464,3448.275862,1.092,1.2833,503,514,2766.969304,0.6028,1.1922,603,614,3713.355049,0.1188,0.4437
403.5,414.5,4445.976219,0.3305,1.4657,453.5,464.5,3471.474704,1.0136,1.2734,503.5,514.5,2785.876255,0.6074,1.1828,603.5,614.5,3726.606998,0.1172,0.4299
404,415,4475.043029,0.3228,1.4799,454,465,3494.623656,0.9489,1.2389,504,515,2804.746494,0.6119,1.1806,604,615,3739.837398,0.1148,0.4176
404.5,415.5,4504.039883,0.3209,1.513,454.5,465.5,3517.722879,0.8788,1.2374,504.5,515.5,2823.580127,0.613,1.167,604.5,615.5,3753.046304,0.1141,0.406
405,416,4532.967033,0.3154,1.4161,455,466,3540.772532,0.8619,1.2517,505,516,2842.377261,0.6218,1.1672,605,616,3766.233766,0.1144,0.3937
405.5,416.5,4561.82473,0.3013,1.3791,455.5,466.5,3563.772776,0.8501,1.2119,505.5,516.5,2861.138002,0.633,1.172,605.5,616.5,3779.399838,0.1238,0.3832
406,417,4590.613224,0.3019,1.3678,456,467,3586.723769,0.8654,1.1536,506,517,2879.862454,0.6487,1.1881,606,617,3792.544571,0.1303,0.3712
406.5,417.5,4619.332763,0.3343,1.3218,456.5,467.5,3609.625668,0.8134,1.0709,506.5,517.5,2898.550725,0.6594,1.1961,606.5,617.5,3805.668016,0.1356,0.3598
407,418,4647.983595,0.357,1.3447,457,468,3632.478632,0.7928,0.9829,507,518,2917.202917,0.6758,1.2106,607,618,3818.770227,0.1405,0.3483
407.5,418.5,4676.565967,0.3707,1.3761,457.5,468.5,3655.282818,0.8106,0.9639,507.5,518.5,2935.819136,0.6884,1.2263,607.5,618.5,3831.851253,0.1482,0.3385
408,419,4705.080123,0.3772,1.4698,458,469,3678.03838,0.7591,0.9243,508,519,2954.399486,0.7063,1.2362,608,619,3844.911147,0.1564,0.3305
408.5,419.5,4733.526307,0.377,1.577,458.5,469.5,3700.745474,0.6134,0.8511,508.5,519.5,2972.94407,0.7325,1.2586,608.5,619.5,3857.94996,0.1673,0.3231
409,420,4761.904762,0.3699,1.5864,459,470,3723.404255,0.4914,0.8009,509,520,2991.452991,0.7567,1.2905,609,620,3870.967742,0.1786,0.3159
409.5,420.5,4790.21573,0.3675,1.6079,459.5,470.5,3746.014878,0.3773,0.8109,509.5,520.5,3009.926353,0.7784,1.3141,609.5,620.5,3883.964545,0.2016,0.3034
410,421,4818.45945,0.3283,1.4983,460,471,3768.577495,0.2878,0.8668,510,521,3028.364257,0.7997,1.3253,610,621,3896.940419,0.216,0.286
410.5,421.5,4846.636163,0.2897,1.4785,460.5,471.5,3791.092259,0.1961,0.8054,510.5,521.5,3046.766805,0.8247,1.3448,,,,,
411,422,4874.746107,0.2749,1.4836,461,472,3813.559322,0.1639,0.747,511,522,3065.1341,0.8471,1.3714,,,,,
411.5,422.5,4902.789518,0.2826,1.4448,461.5,472.5,3835.978836,0.1203,0.712,511.5,522.5,3083.466241,0.8686,1.3949,,,,,
412,423,4930.766633,0.2811,1.4328,462,473,3858.350951,0.1352,0.6972,512,523,3101.763331,0.8874,1.4066,,,,,
412.5,423.5,4958.677686,0.2821,1.3946,462.5,473.5,3880.675818,0.2127,0.6908,512.5,523.5,3120.02547,0.9051,1.4145,,,,,
413,424,4986.522911,0.2867,1.4455,463,474,3902.953586,0.2351,0.5835,513,524,3138.252757,0.9229,1.4284,,,,,
413.5,424.5,5014.302541,0.296,1.4227,463.5,474.5,3925.184405,0.2467,0.5364,513.5,524.5,3156.445292,0.9367,1.4443,,,,,
414,425,5042.016807,0.31,1.3636,464,475,3947.368421,0.257,0.503,514,525,3174.603175,0.9455,1.465,,,,,
414.5,425.5,5069.665939,0.326,1.2894,464.5,475.5,3969.505783,0.2786,0.5081,514.5,525.5,3192.726504,0.9482,1.4696,,,,,
415,426,5097.250168,0.3148,1.1932,465,476,3991.596639,0.2497,0.5715,515,526,3210.815378,0.9631,1.4794,,,,,
415.5,426.5,5124.76972,0.31,1.152,465.5,476.5,4013.641133,0.2148,0.5389,515.5,526.5,3228.869896,0.9763,1.4903,,,,,
416,427,5152.224824,0.3065,1.1469,466,477,4035.639413,0.1971,0.5786,516,527,3246.890154,0.9954,1.5043,,,,,
416.5,427.5,5179.615706,0.3297,1.1443,466.5,477.5,4057.591623,0.1802,0.5711,516.5,527.5,3264.876251,1.0108,1.5139,,,,,
417,428,5206.94259,0.3469,1.2028,467,478,4079.497908,0.1796,0.5633,517,528,3282.828283,1.0181,1.5232,,,,,
417.5,428.5,5234.205701,0.3572,1.1989,467.5,478.5,4101.358412,0.1783,0.5083,517.5,528.5,3300.746347,1.0247,1.5274,,,,,
418,429,5261.405261,0.362,1.2496,468,479,4123.173278,0.1759,0.4765,518,529,3318.63054,1.0405,1.5289,,,,,
418.5,429.5,5288.541493,0.3614,1.3301,468.5,479.5,4144.942649,0.1655,0.5605,518.5,529.5,3336.480957,1.0555,1.5467,,,,,
419,430,5315.614618,0.3558,1.4078,469,480,4166.666667,0.1654,0.561,519,530,3354.297694,1.0636,1.5569,,,,,
419.5,430.5,5342.624855,0.3584,1.4535,469.5,480.5,4188.345473,0.1893,0.5667,519.5,530.5,3372.080846,1.0734,1.5629,,,,,
420,431,5369.572423,0.3277,1.4298,470,481,4209.97921,0.1917,0.5316,520,531,3389.830508,1.0801,1.5588,,,,,
420.5,431.5,5396.45754,0.2982,1.419,470.5,481.5,4231.568017,0.2,0.5349,520.5,531.5,3407.546775,1.0813,1.56,,,,,
