(2)comp,(2)comp_ajuste,(2)comp_raman,(2)10-5,(2)5-5,(3comp,(3)comp_ajuste,(3)comp_raman,(3)10-5,(3)5-5,(3)10-10,(4)comp,(4)comp_ajuste,(4)comp_raman,(4)10-10,(4)10-5
493,504.3,5170.533413,0.4488,0.2097,543,554.3,4181.450077,0.1572,0.0194,0.6154,643,653,4686.064319,0.2383,0.0028
493.5,504.8,5190.174326,0.4403,0.206,543.5,554.8,4197.708884,0.1495,0.0142,0.6202,643.5,653.5,4697.781178,0.2383,0.0025
494,505.3,5209.77637,0.4316,0.245,544,555.3,4213.938412,0.1423,0.0087,0.6239,644,654,4709.480122,0.2388,0.0023
494.5,505.8,5229.33966,0.4231,0.2827,544.5,555.8,4230.138739,0.1286,-1.00E-04,0.6109,644.5,654.5,4721.161192,0.24,0.0024
495,506.3,5248.86431,0.4319,0.3152,545,556.3,4246.309945,0.1289,0.0172,0.6179,645,655,4732.824427,0.2412,0.0042
495.5,506.8,5268.350434,0.4226,0.3142,545.5,556.8,4262.452107,0.128,0.0225,0.6055,645.5,655.5,4744.46987,0.242,0.0054
496,507.3,5287.798147,0.4152,0.29,546,557.3,4278.565305,0.1314,0.0257,0.6019,646,656,4756.097561,0.2414,0.0061
496.5,507.8,5307.207562,0.4134,0.2544,546.5,557.8,4294.649616,0.1305,0.0284,0.5983,646.5,656.5,4767.70754,0.2408,0.0048
497,508.3,5326.578792,0.4058,0.2261,547,558.3,4310.705117,0.1316,0.029,0.5972,647,657,4779.299848,0.2409,0.0055
497.5,508.8,5345.91195,0.3922,0.1863,547.5,558.8,4326.731886,0.131,0.0284,0.5907,647.5,657.5,4790.874525,0.2382,0.0047
498,509.3,5365.207147,0.385,0.1954,548,559.3,4342.73,0.1345,0.0248,0.5874,648,658,4802.431611,0.2386,0.0048
498.5,509.8,5384.464496,0.3783,0.2017,548.5,559.8,4358.699536,0.1358,0.0199,0.5754,648.5,658.5,4813.971147,0.2324,0.0044
499,510.3,5403.684107,0.3799,0.2241,549,560.3,4374.64057,0.1339,0.0167,0.5708,649,659,4825.493171,0.2279,0.0033
499.5,510.8,5422.866092,0.3789,0.2334,549.5,560.8,4390.553178,0.1396,0.0157,0.5766,649.5,659.5,4836.997726,0.2293,0.0039
500,511.3,5442.010561,0.385,0.258,550,561.3,4406.437437,0.154,0.032,0.482,650,660,4848.484848,0.218,0
