(2)comp,(2)comp_ajuste,(2)comp_raman,(2)10-5,(2)5-5,(3comp,(3)comp_ajuste,(3)comp_raman,(3)10-5,(3)5-5,(3)10-10,(4)comp,(4)comp_ajuste,(4)comp_raman,(4)10-10,(4)10-5
421,432.3,1867.915799,0.563,0.5835,471,482.3,1488.239224,0.2379,0.1467,1.1153,571,581,2788.296041,0.231,0.0354
421.5,432.8,1894.639556,0.5622,0.5899,471.5,482.8,1509.711866,0.2385,0.1631,1.108,571.5,581.5,2803.095443,0.228,0.0355
422,433.3,1921.301639,0.5609,0.6034,472,483.3,1531.140079,0.2391,0.1683,1.0951,572,582,2817.869416,0.2276,0.0365
422.5,433.8,1947.902259,0.5731,0.6256,472.5,483.8,1552.524,0.2385,0.194,1.081,572.5,582.5,2832.618026,0.2239,0.0341
423,434.3,1974.44163,0.5775,0.6788,473,484.3,1573.863767,0.2384,0.1993,1.0656,573,583,2847.341338,0.2199,0.0327
423.5,434.8,2000.919963,0.5954,0.7396,473.5,484.8,1595.159516,0.2392,0.1962,1.0519,573.5,583.5,2862.039417,0.2163,0.032
424,435.3,2027.337468,0.6076,0.7446,474,485.3,1616.411384,0.239,0.202,1.038,574,584,2876.712329,0.214,0.0325
424.5,435.8,2053.694355,0.6077,0.7195,474.5,485.8,1637.619505,0.2389,0.2054,1.0294,574.5,584.5,2891.360137,0.2133,0.0328
425,436.3,2079.990832,0.5969,0.739,475,486.3,1658.784015,0.2385,0.1777,1.0247,575,585,2905.982906,0.2117,0.0342
425.5,436.8,2106.227106,0.5906,0.7706,475.5,486.8,1679.905049,0.2377,0.162,1.0244,575.5,585.5,2920.5807,0.2098,0.0288
426,437.3,2132.403384,0.5897,0.7524,476,487.3,1700.982739,0.2361,0.1408,1.0185,576,586,2935.153584,0.2117,0.0241
426.5,437.8,2158.519872,0.5982,0.7114,476.5,487.8,1722.01722,0.2362,0.1312,1.0087,576.5,586.5,2949.70162,0.2172,0.0177
427,438.3,2184.576774,0.5947,0.6976,477,488.3,1743.008624,0.2353,0.1189,1.0062,577,587,2964.224872,0.2227,0.0197
427.5,438.8,2210.574294,0.5962,0.6704,477.5,488.8,1763.957083,0.2345,0.107,0.9913,577.5,587.5,2978.723404,0.2252,0.019
428,439.3,2236.512634,0.5939,0.6488,478,489.3,1784.862729,0.2355,0.0844,0.9856,578,588,2993.197279,0.2249,0.0204
428.5,439.8,2262.391996,0.5946,0.6164,478.5,489.8,1805.725693,0.2374,0.0823,0.982,578.5,588.5,3007.646559,0.2267,0.0195
429,440.3,2288.212582,0.5877,0.5578,479,490.3,1826.546106,0.2379,0.0938,0.9795,579,589,3022.071307,0.2319,0.0199
429.5,440.8,2313.974592,0.5919,0.481,479.5,490.8,1847.324097,0.2397,0.0987,0.975,579.5,589.5,3036.471586,0.2382,0.02
430,441.3,2339.678223,0.5818,0.5013,480,491.3,1868.059796,0.2406,0.0925,0.9707,580,590,3050.847458,0.2456,0.0204
430.5,441.8,2365.323676,0.5904,0.5221,480.5,491.8,1888.753332,0.2395,0.0804,0.9641,580.5,590.5,3065.198984,0.2496,0.0217
431,442.3,2390.911146,0.5914,0.5192,481,492.3,1909.404834,0.2387,0.0923,0.9551,581,591,3079.526227,0.2548,0.0232
431.5,442.8,2416.440831,0.5965,0.5286,481.5,492.8,1930.01443,0.2362,0.0969,0.9457,581.5,591.5,3093.829248,0.2596,0.0274
432,443.3,2441.912926,0.5927,0.5315,482,493.3,1950.582247,0.2354,0.1009,0.9338,582,592,3108.108108,0.2626,0.0342
432.5,443.8,2467.327625,0.598,0.5262,482.5,493.8,1971.108411,0.2317,0.0897,0.9265,582.5,592.5,3122.362869,0.2614,0.032
433,444.3,2492.685123,0.5966,0.5186,483,494.3,1991.59305,0.2308,0.1009,0.9189,583,593,3136.593592,0.2695,0.0318
433.5,444.8,2517.985612,0.592,0.5191,483.5,494.8,2012.036289,0.2267,0.1018,0.9155,583.5,593.5,3150.800337,0.2799,0.0307
434,445.3,2543.229284,0.5844,0.514,484,495.3,2032.438253,0.2228,0.0855,0.9113,584,594,3164.983165,0.2905,0.0331
434.5,445.8,2568.41633,0.5952,0.4883,484.5,495.8,2052.799068,0.2204,0.0737,0.9086,584.5,594.5,3179.142136,0.3013,0.0378
435,446.3,2593.546942,0.589,0.53,485,496.3,2073.118857,0.2211,0.0537,0.9027,585,595,3193.277311,0.3114,0.0393
435.5,446.8,2618.621307,0.5985,0.5591,485.5,496.8,2093.397746,0.2212,0.0332,0.9016,585.5,595.5,3207.388749,0.3178,0.0374
436,447.3,2643.639615,0.6014,0.5852,486,497.3,2113.635856,0.2231,0.0263,0.9005,586,596,3221.47651,0.3237,0.0413
436.5,447.8,2668.602054,0.6061,0.6079,486.5,497.8,2133.833311,0.2247,0.0148,0.8997,586.5,596.5,3235.540654,0.3292,0.0483
437,448.3,2693.508811,0.6146,0.5975,487,498.3,2153.990233,0.2298,0.0199,0.904,587,597,3249.58124,0.3367,0.0454
437.5,448.8,2718.360071,0.6358,0.5708,487.5,498.8,2174.106745,0.2324,0.0159,0.8988,587.5,597.5,3263.598326,0.3389,0.0447
438,449.3,2743.15602,0.65,0.5375,488,499.3,2194.182967,0.2347,0.0263,0.9018,588,598,3277.591973,0.3353,0.0498
438.5,449.8,2767.896843,0.6598,0.516,488.5,499.8,2214.219021,0.2318,0.036,0.9033,588.5,598.5,3291.562239,0.3386,0.0526
439,450.3,2792.582723,0.6654,0.4858,489,500.3,2234.215027,0.2286,0.0388,0.9044,589,599,3305.509182,0.3445,0.0558
439.5,450.8,2817.213842,0.6765,0.4521,489.5,500.8,2254.171104,0.2309,0.0406,0.9077,589.5,599.5,3319.432861,0.3445,0.0574
440,451.3,2841.790383,0.6795,0.458,490,501.3,2274.087373,0.2288,0.0264,0.9073,590,600,3333.333333,0.339,0.0501
440.5,451.8,2866.312528,0.6906,0.5124,490.5,501.8,2293.963952,0.2263,0.0365,0.911,590.5,600.5,3347.210658,0.3355,0.0401
441,452.3,2890.780455,0.7003,0.5622,491,502.3,2313.80096,0.2301,0.0388,0.9118,591,601,3361.064892,0.3345,0.0372
441.5,452.8,2915.194346,0.7041,0.6039,491.5,502.8,2333.598515,0.2274,0.0372,0.9099,591.5,601.5,3374.896093,0.3328,0.0354
442,453.3,2939.554379,0.7107,0.6425,492,503.3,2353.356734,0.2204,0.045,0.9131,592,602,3388.704319,0.326,0.0299
