comp(1),comp_corrected(1),raman_shift(1),vidro(5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(5-5),comp(3),comp_corrected(1),raman_shift(3),vidro(10-10),comp(4),comp_corrected(1),raman_shift(4),vidro(10-10)
362,373,1761.777097,1.9824,412,423,1359.338061,2.0316,462,473,1080.573174,4.1831,512,523,879.541109,2.7355
362.5,373.5,1797.666858,2.0205,412.5,423.5,1387.249115,2.0255,462.5,473.5,1102.898041,4.2985,512.5,523.5,897.8032474,2.7473
363,374,1833.460657,1.9845,413,424,1415.09434,2.027,463,474,1125.175809,4.3532,513,524,916.0305344,2.7623
363.5,374.5,1869.158879,1.9972,413.5,424.5,1442.873969,2.0235,463.5,474.5,1147.406627,4.3644,513.5,524.5,934.2230696,2.7773
364,375,1904.761905,2.0431,414,425,1470.588235,2.0155,464,475,1169.590643,4.3491,514,525,952.3809524,2.793
364.5,375.5,1940.270116,2.0267,414.5,425.5,1498.237368,2.0053,464.5,475.5,1191.728006,4.3172,514.5,525.5,970.5042816,2.8067
365,376,1975.683891,2.0189,415,426,1525.821596,2.0031,465,476,1213.818861,4.2672,515,526,988.5931559,2.8168
365.5,376.5,2011.003605,2.018,415.5,426.5,1553.341149,1.994,465.5,476.5,1235.863355,4.2104,515.5,526.5,1006.647673,2.8267
366,377,2046.229632,1.985,416,427,1580.796253,1.9805,466,477,1257.861635,4.1549,516,527,1024.667932,2.8369
366.5,377.5,2081.362346,1.9928,416.5,427.5,1608.187135,1.9635,466.5,477.5,1279.813845,4.1025,516.5,527.5,1042.654028,2.8468
367,378,2116.402116,2.0192,417,428,1635.514019,1.9558,467,478,1301.72013,4.0562,517,528,1060.606061,2.8556
367.5,378.5,2151.349311,2.0406,417.5,428.5,1662.77713,1.9533,467.5,478.5,1323.580634,4.0159,517.5,528.5,1078.524125,2.8618
368,379,2186.204297,2.0453,418,429,1689.97669,1.9634,468,479,1345.3955,3.9807,518,529,1096.408318,2.8676
368.5,379.5,2220.967438,2.0628,418.5,429.5,1717.112922,1.9574,468.5,479.5,1367.164871,3.9504,518.5,529.5,1114.258735,2.8731
369,380,2255.639098,2.0668,419,430,1744.186047,1.9673,469,480,1388.888889,3.9187,519,530,1132.075472,2.8746
369.5,380.5,2290.219636,2.0217,419.5,430.5,1771.196283,1.9504,469.5,480.5,1410.567696,3.8946,519.5,530.5,1149.858624,2.8744
370,381,2324.709411,2.0132,420,431,1798.143852,1.9283,470,481,1432.201432,3.866,520,531,1167.608286,2.8702
370.5,381.5,2359.108781,2.01,420.5,431.5,1825.028969,1.8762,470.5,481.5,1453.790239,3.8416,520.5,531.5,1185.324553,2.8626
371,382,2393.4181,2.0604,421,432,1851.851852,1.8318,471,482,1475.334255,3.8207,521,532,1203.007519,2.8522
371.5,382.5,2427.637722,2.0759,421.5,432.5,1878.612717,1.7849,471.5,482.5,1496.833621,3.7949,521.5,532.5,1220.657277,2.8417
372,383,2461.767997,2.1157,422,433,1905.311778,1.726,472,483,1518.288475,3.7697,522,533,1238.273921,2.8263
372.5,383.5,2495.809275,2.1043,422.5,433.5,1931.94925,1.6859,472.5,483.5,1539.698954,3.7451,522.5,533.5,1255.857545,2.8103
373,384,2529.761905,2.0988,423,434,1958.525346,1.6548,473,484,1561.065197,3.7208,523,534,1273.40824,2.7981
373.5,384.5,2563.626231,2.1252,423.5,434.5,1985.040276,1.6149,473.5,484.5,1582.387341,3.699,523.5,534.5,1290.926099,2.7796
374,385,2597.402597,2.1407,424,435,2011.494253,1.6056,474,485,1603.665521,3.6721,524,535,1308.411215,2.7583
374.5,385.5,2631.091347,2.1229,424.5,435.5,2037.887486,1.6031,474.5,485.5,1624.899874,3.642,524.5,535.5,1325.863679,2.7374
375,386,2664.69282,2.0704,425,436,2064.220183,1.6154,475,486,1646.090535,3.6088,525,536,1343.283582,2.7142
375.5,386.5,2698.207355,2.0483,425.5,436.5,2090.492554,1.6077,475.5,486.5,1667.237638,3.5761,525.5,536.5,1360.671016,2.6901
376,387,2731.63529,2.0442,426,437,2116.704805,1.6318,476,487,1688.341319,3.5437,526,537,1378.026071,2.6659
376.5,387.5,2764.976959,2.0027,426.5,437.5,2142.857143,1.63,476.5,487.5,1709.401709,3.5103,526.5,537.5,1395.348837,2.641
377,388,2798.232695,2.0166,427,438,2168.949772,1.6219,477,488,1730.418944,3.4771,527,538,1412.639405,2.6132
377.5,388.5,2831.402831,2.0112,427.5,438.5,2194.982896,1.6434,477.5,488.5,1751.393154,3.4407,527.5,538.5,1429.897864,2.5867
378,389,2864.487697,1.961,428,439,2220.95672,1.6688,478,489,1772.324472,3.4057,528,539,1447.124304,2.5665
378.5,389.5,2897.487621,2.0454,428.5,439.5,2246.871445,1.6825,478.5,489.5,1793.213029,3.3754,528.5,539.5,1464.318814,2.5392
379,390,2930.40293,2.0348,429,440,2272.727273,1.711,479,490,1814.058957,3.35,529,540,1481.481481,2.5116
379.5,390.5,2963.233949,2.1947,429.5,440.5,2298.524404,1.7321,479.5,490.5,1834.862385,3.3197,529.5,540.5,1498.612396,2.4885
380,391,2995.981001,2.3055,430,441,2324.263039,1.7369,480,491,1855.623444,3.2839,530,541,1515.711645,2.4605
380.5,391.5,3028.644408,2.5017,430.5,441.5,2349.943375,1.7239,480.5,491.5,1876.342263,3.2506,530.5,541.5,1532.779317,2.4287
381,392,3061.22449,2.7614,431,442,2375.565611,1.72,481,492,1897.01897,3.2265,531,542,1549.815498,2.394
381.5,392.5,3093.721565,3.022,431.5,442.5,2401.129944,1.6773,481.5,492.5,1917.653694,3.1953,531.5,542.5,1566.820276,2.3604
382,393,3126.135951,3.2965,432,443,2426.636569,1.6733,482,493,1938.246563,3.1636,532,543,1583.793738,2.3254
382.5,393.5,3158.467962,3.4163,432.5,443.5,2452.085682,1.6802,482.5,493.5,1958.797703,3.1293,532.5,543.5,1600.735971,2.2953
383,394,3190.717912,3.4815,433,444,2477.477477,1.7006,483,494,1979.307242,3.0942,533,544,1617.647059,2.2679
383.5,394.5,3222.886113,3.6494,433.5,444.5,2502.812148,1.7068,483.5,494.5,1999.775306,3.0559,533.5,544.5,1634.527089,2.2393
384,395,3254.972875,3.6531,434,445,2528.089888,1.714,484,495,2020.20202,3.0212,534,545,1651.376147,2.2093
384.5,395.5,3286.978508,3.8332,434.5,445.5,2553.310887,1.7064,484.5,495.5,2040.58751,2.9899,534.5,545.5,1668.194317,2.182
385,396,3318.903319,3.8188,435,446,2578.475336,1.6806,485,496,2060.9319,2.9617,535,546,1684.981685,2.1533
385.5,396.5,3350.747613,3.8367,435.5,446.5,2603.583427,1.6471,485.5,496.5,2081.235314,2.934,535.5,546.5,1701.738335,2.1262
386,397,3382.511695,3.8341,436,447,2628.635347,1.607,486,497,2101.497876,2.9063,536,547,1718.464351,2.1022
386.5,397.5,3414.195867,3.7875,436.5,447.5,2653.631285,1.5808,486.5,497.5,2121.71971,2.8789,536.5,547.5,1735.159817,2.0788
387,398,3445.800431,3.7554,437,448,2678.571429,1.5967,487,498,2141.900937,2.8541,537,548,1751.824818,2.0575
387.5,398.5,3477.325686,3.6367,437.5,448.5,2703.455964,1.613,487.5,498.5,2162.041681,2.8307,537.5,548.5,1768.459435,2.0392
388,399,3508.77193,3.4991,438,449,2728.285078,1.6374,488,499,2182.142062,2.8105,538,549,1785.063752,2.0201
388.5,399.5,3540.13946,3.5396,438.5,449.5,2753.058954,1.6695,488.5,499.5,2202.202202,2.7935,538.5,549.5,1801.637853,2.001
389,400,3571.428571,3.4545,439,450,2777.777778,1.698,489,500,2222.222222,2.7764,539,550,1818.181818,1.986
