comp(1),comp_corrected(1),raman_shift(1),vidro(5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(5-5),comp(3),comp_corrected(1),raman_shift(3),vidro(10-10),comp(4),comp_corrected(1),raman_shift(4),vidro(10-10)
438.5,449.5,6324.487526,1.964,488.5,499.5,4979.97998,0.9378,538.5,549.5,4023.860075,1.9763,588.5,599.5,3319.432861,1.8308
439,450,6349.206349,1.9212,489,500,5000,0.9253,539,550,4040.40404,1.969,589,600,3333.333333,1.8456
439.5,450.5,6373.870303,2.0033,489.5,500.5,5019.98002,0.9094,539.5,550.5,4056.917953,1.9608,589.5,600.5,3347.210658,1.862
440,451,6398.479569,2.0422,490,501,5039.92016,0.8972,540,551,4073.401896,1.9486,590,601,3361.064892,1.8771
440.5,451.5,6423.03433,1.9684,490.5,501.5,5059.820538,0.9151,540.5,551.5,4089.855948,1.9371,590.5,601.5,3374.896093,1.8896
441,452,6447.534766,1.9589,491,502,5079.681275,0.8939,541,552,4106.280193,1.9209,591,602,3388.704319,1.8981
441.5,452.5,6471.981058,1.8819,491.5,502.5,5099.502488,0.8743,541.5,552.5,4122.674711,1.9043,591.5,602.5,3402.489627,1.9033
442,453,6496.373384,1.8288,492,503,5119.284294,0.8544,542,553,4139.039582,1.8924,592,603,3416.252073,1.9107
442.5,453.5,6520.711923,1.7604,492.5,503.5,5139.026812,0.836,542.5,553.5,4155.374887,1.8771,592.5,603.5,3429.991715,1.9184
443,454,6544.996853,1.8175,493,504,5158.730159,0.8629,543,554,4171.680706,1.8571,593,604,3443.708609,1.9235
443.5,454.5,6569.228351,1.9063,493.5,504.5,5178.39445,0.868,543.5,554.5,4187.957119,1.8411,593.5,604.5,3457.402812,1.9264
444,455,6593.406593,1.9676,494,505,5198.019802,0.8718,544,555,4204.204204,1.8216,594,605,3471.07438,1.9273
444.5,455.5,6617.531755,2.0376,494.5,505.5,5217.60633,0.8566,544.5,555.5,4220.422042,1.8009,594.5,605.5,3484.723369,1.9256
445,456,6641.60401,2.172,495,506,5237.15415,0.8763,545,556,4236.610711,1.784,595,606,3498.349835,1.925
445.5,456.5,6665.623533,2.1119,495.5,506.5,5256.663376,0.8807,545.5,556.5,4252.770291,1.7754,595.5,606.5,3511.953833,1.9217
446,457,6689.590497,2.0317,496,507,5276.134122,0.8578,546,557,4268.900858,1.7641,596,607,3525.53542,1.9253
446.5,457.5,6713.505074,1.9315,496.5,507.5,5295.566502,0.8409,546.5,557.5,4285.002491,1.7523,596.5,607.5,3539.09465,1.9228
447,458,6737.367436,1.9219,497,508,5314.96063,0.8288,547,558,4301.075269,1.7405,597,608,3552.631579,1.9148
447.5,458.5,6761.177754,1.9816,497.5,508.5,5334.316618,0.8364,547.5,558.5,4317.119268,1.7323,597.5,608.5,3566.146261,1.9081
448,459,6784.936197,2.0301,498,509,5353.634578,0.8481,548,559,4333.134566,1.7205,598,609,3579.638752,1.9058
448.5,459.5,6808.642935,2.0628,498.5,509.5,5372.914622,0.8444,548.5,559.5,4349.121239,1.7074,598.5,609.5,3593.109106,1.9077
449,460,6832.298137,2.1905,499,510,5392.156863,0.8298,549,560,4365.079365,1.7101,599,610,3606.557377,1.9054
449.5,460.5,6855.90197,2.1566,499.5,510.5,5411.36141,0.7948,549.5,560.5,4381.00902,1.7097,599.5,610.5,3619.98362,1.8974
450,461,6879.454602,1.978,500,511,5430.528376,0.75,550,561,4396.910279,1.694,600,611,3633.387889,1.8896
,,,,,,,,,,,,600.5,611.5,3646.770237,1.8828
,,,,,,,,,,,,601,612,3660.130719,1.8745
,,,,,,,,,,,,601.5,612.5,3673.469388,1.8665
,,,,,,,,,,,,602,613,3686.786297,1.8616
,,,,,,,,,,,,602.5,613.5,3700.0815,1.8502
,,,,,,,,,,,,603,614,3713.355049,1.8412
,,,,,,,,,,,,603.5,614.5,3726.606998,1.835
,,,,,,,,,,,,604,615,3739.837398,1.8267
,,,,,,,,,,,,604.5,615.5,3753.046304,1.8157
,,,,,,,,,,,,605,616,3766.233766,1.8095
,,,,,,,,,,,,605.5,616.5,3779.399838,1.8022
,,,,,,,,,,,,606,617,3792.544571,1.7954
,,,,,,,,,,,,606.5,617.5,3805.668016,1.7849
,,,,,,,,,,,,607,618,3818.770227,1.778
,,,,,,,,,,,,607.5,618.5,3831.851253,1.7751
,,,,,,,,,,,,608,619,3844.911147,1.774
,,,,,,,,,,,,608.5,619.5,3857.94996,1.7727
,,,,,,,,,,,,609,620,3870.967742,1.7709
,,,,,,,,,,,,609.5,620.5,3883.964545,1.7651
,,,,,,,,,,,,610,621,3896.940419,1.7619
,,,,,,,,,,,,610.5,621.5,3909.895414,1.759
,,,,,,,,,,,,611,622,3922.829582,1.7594
,,,,,,,,,,,,611.5,622.5,3935.742972,1.7589
,,,,,,,,,,,,612,623,3948.635634,1.7581
,,,,,,,,,,,,612.5,623.5,3961.507618,1.7526
,,,,,,,,,,,,613,624,3974.358974,1.7558
,,,,,,,,,,,,613.5,624.5,3987.189752,1.7575
,,,,,,,,,,,,614,625,4000,1.7511
,,,,,,,,,,,,614.5,625.5,4012.789768,1.7453
,,,,,,,,,,,,615,626,4025.559105,1.745
,,,,,,,,,,,,615.5,626.5,4038.308061,1.7423
,,,,,,,,,,,,616,627,4051.036683,1.7391
,,,,,,,,,,,,616.5,627.5,4063.74502,1.7364
,,,,,,,,,,,,617,628,4076.433121,1.7335
,,,,,,,,,,,,617.5,628.5,4089.101034,1.7294
,,,,,,,,,,,,618,629,4101.748808,1.7243
,,,,,,,,,,,,618.5,629.5,4114.376489,1.7208
,,,,,,,,,,,,619,630,4126.984127,1.7163
,,,,,,,,,,,,619.5,630.5,4139.571768,1.7098
,,,,,,,,,,,,620,631,4152.139461,1.7035
,,,,,,,,,,,,620.5,631.5,4164.687253,1.6992
,,,,,,,,,,,,621,632,4177.21519,1.6986
,,,,,,,,,,,,621.5,632.5,4189.72332,1.6961
,,,,,,,,,,,,622,633,4202.21169,1.6913
,,,,,,,,,,,,622.5,633.5,4214.680347,1.6845
,,,,,,,,,,,,623,634,4227.129338,1.6814
,,,,,,,,,,,,623.5,634.5,4239.558708,1.6777
,,,,,,,,,,,,624,635,4251.968504,1.6691
,,,,,,,,,,,,624.5,635.5,4264.358773,1.6678
,,,,,,,,,,,,625,636,4276.72956,1.6669
,,,,,,,,,,,,625.5,636.5,4289.080911,1.6607
,,,,,,,,,,,,626,637,4301.412873,1.6587
,,,,,,,,,,,,626.5,637.5,4313.72549,1.6534
,,,,,,,,,,,,627,638,4326.018809,1.6482
,,,,,,,,,,,,627.5,638.5,4338.292874,1.6446
,,,,,,,,,,,,628,639,4350.547731,1.6426
,,,,,,,,,,,,628.5,639.5,4362.783425,1.6421
,,,,,,,,,,,,629,640,4375,1.6412
,,,,,,,,,,,,629.5,640.5,4387.197502,1.6394
,,,,,,,,,,,,630,641,4399.375975,1.6377
,,,,,,,,,,,,630.5,641.5,4411.535464,1.6353
,,,,,,,,,,,,631,642,4423.676012,1.6325
,,,,,,,,,,,,631.5,642.5,4435.797665,1.627
,,,,,,,,,,,,632,643,4447.900467,1.6205
,,,,,,,,,,,,632.5,643.5,4459.98446,1.6136
,,,,,,,,,,,,633,644,4472.049689,1.6079
,,,,,,,,,,,,633.5,644.5,4484.096199,1.6008
,,,,,,,,,,,,634,645,4496.124031,1.5922
,,,,,,,,,,,,634.5,645.5,4508.13323,1.5852
,,,,,,,,,,,,635,646,4520.123839,1.5772
,,,,,,,,,,,,635.5,646.5,4532.095901,1.5667
,,,,,,,,,,,,636,647,4544.049459,1.5602
,,,,,,,,,,,,636.5,647.5,4555.984556,1.5501
,,,,,,,,,,,,637,648,4567.901235,1.5451
,,,,,,,,,,,,637.5,648.5,4579.799537,1.5432
,,,,,,,,,,,,638,649,4591.679507,1.5401
,,,,,,,,,,,,638.5,649.5,4603.541186,1.5376
,,,,,,,,,,,,639,650,4615.384615,1.5346
,,,,,,,,,,,,639.5,650.5,4627.209839,1.5292
,,,,,,,,,,,,640,651,4639.016897,1.5256
,,,,,,,,,,,,640.5,651.5,4650.805833,1.5164
,,,,,,,,,,,,641,652,4662.576687,1.5079
,,,,,,,,,,,,641.5,652.5,4674.329502,1.5004
,,,,,,,,,,,,642,653,4686.064319,1.4893
,,,,,,,,,,,,642.5,653.5,4697.781178,1.4754
,,,,,,,,,,,,643,654,4709.480122,1.4626
,,,,,,,,,,,,643.5,654.5,4721.161192,1.4513
,,,,,,,,,,,,644,655,4732.824427,1.4427
,,,,,,,,,,,,644.5,655.5,4744.46987,1.4311
,,,,,,,,,,,,645,656,4756.097561,1.4203
,,,,,,,,,,,,645.5,656.5,4767.70754,1.4083
,,,,,,,,,,,,646,657,4779.299848,1.3975
,,,,,,,,,,,,646.5,657.5,4790.874525,1.3872
,,,,,,,,,,,,647,658,4802.431611,1.3773
,,,,,,,,,,,,647.5,658.5,4813.971147,1.3665
,,,,,,,,,,,,648,659,4825.493171,1.3565
,,,,,,,,,,,,648.5,659.5,4836.997726,1.3497
,,,,,,,,,,,,649,660,4848.484848,1.3289
,,,,,,,,,,,,649.5,660.5,4859.95458,1.3057
,,,,,,,,,,,,650,661,4871.406959,1.296
