comp(1),comp_corrected(1),raman_shift(1),vidro(ex 350 5-5),plastico(ex 350 5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(ex 400 5-5),plastico(ex 400 5-5),comp(3),comp_corrected(3),raman_shift(3),vidro(ex 450 10-10),plastico(ex 450 10-10),comp(4),comp_corrected(4),raman_shift(4),vidro(ex 500 10-10),plastico(ex 500 10-10)
356.5,367.5,1360.544218,0.5587,1.9403,406.5,417.5,1047.904192,0.529,1.2546,456.5,467.5,831.8478907,3.7482,22.8389,506.5,517.5,676.3285024,0.5422,4.2255
357,368,1397.515528,0.5358,1.7915,407,418,1076.555024,0.5312,1.2022,457,468,854.7008547,2.7265,15.9748,507,518,694.980695,0.3703,2.5887
357.5,368.5,1434.386509,0.5302,1.7444,407.5,418.5,1105.137395,0.5217,1.2082,457.5,468.5,877.5050397,2.0003,11.0412,507.5,518.5,713.5969142,0.2695,1.5198
358,369,1471.157569,0.5493,1.7629,408,419,1133.651551,0.5499,1.1471,458,469,900.2606018,1.3832,7.0631,508,519,732.177264,0.2046,0.8878
358.5,369.5,1507.829113,0.5855,1.7224,408.5,419.5,1162.097735,0.5056,1.1464,458.5,469.5,922.9676961,1.1162,5.0761,508.5,519.5,750.7218479,0.1741,0.5965
359,370,1544.401544,0.6613,1.7273,409,420,1190.47619,0.4673,1.1207,459,470,945.6264775,0.8806,3.3898,509,520,769.2307692,0.1733,0.5389
359.5,370.5,1580.875265,0.6901,1.8837,409.5,420.5,1218.787158,0.4686,1.1225,459.5,470.5,968.2371,0.6608,2.0637,509.5,520.5,787.7041306,0.1843,0.6244
360,371,1617.250674,0.6634,1.8692,410,421,1247.030879,0.431,1.1222,460,471,990.7997169,0.6463,1.9089,510,521,806.1420345,0.1993,0.7443
360.5,371.5,1653.528168,0.6839,1.8967,410.5,421.5,1275.207592,0.4257,1.2506,460.5,471.5,1013.314481,0.5976,1.5901,510.5,521.5,824.5445829,0.2172,0.8769
361,372,1689.708141,0.6944,1.8860,411,422,1303.317536,0.4022,1.3015,461,472,1035.781544,0.6169,1.7442,511,522,842.9118774,0.2351,0.9922
361.5,372.5,1725.790988,0.6551,1.8431,411.5,422.5,1331.360947,0.381,1.2314,461.5,472.5,1058.201058,0.6561,1.962,511.5,522.5,861.2440191,0.2499,1.0867
362,373,1761.777097,0.6501,1.7463,412,423,1359.338061,0.3683,1.1154,462,473,1080.573174,0.6736,2.131,512,523,879.541109,0.2584,1.1466
362.5,373.5,1797.666858,0.6587,1.8066,412.5,423.5,1387.249115,0.3941,1.0855,462.5,473.5,1102.898041,0.6912,2.2765,512.5,523.5,897.8032474,0.2613,1.1694
363,374,1833.460657,0.6775,1.8728,413,424,1415.09434,0.4669,1.0867,463,474,1125.175809,0.6919,2.3863,513,524,916.0305344,0.2608,1.1714
363.5,374.5,1869.158879,0.6916,1.8505,413.5,424.5,1442.873969,0.505,1.087,463.5,474.5,1147.406627,0.7133,2.4764,513.5,524.5,934.2230696,0.2579,1.1681
364,375,1904.761905,0.7285,1.8657,414,425,1470.588235,0.5308,1.1192,464,475,1169.590643,0.723,2.5069,514,525,952.3809524,0.2558,1.1587
364.5,375.5,1940.270116,0.7608,1.9539,414.5,425.5,1498.237368,0.5804,1.2308,464.5,475.5,1191.728006,0.717,2.4659,514.5,525.5,970.5042816,0.2541,1.1426
365,376,1975.683891,0.7252,1.9018,415,426,1525.821596,0.6059,1.1929,465,476,1213.818861,0.72,2.4579,515,526,988.5931559,0.2531,1.1263
365.5,376.5,2011.003605,0.6883,1.8569,415.5,426.5,1553.341149,0.6004,1.1484,465.5,476.5,1235.863355,0.701,2.4201,515.5,526.5,1006.647673,0.2508,1.1069
366,377,2046.229632,0.6592,1.8629,416,427,1580.796253,0.5928,0.9175,466,477,1257.861635,0.7023,2.3902,516,527,1024.667932,0.2488,1.0914
366.5,377.5,2081.362346,0.6528,1.8368,416.5,427.5,1608.187135,0.5587,0.7807,466.5,477.5,1279.813845,0.6942,2.3698,516.5,527.5,1042.654028,0.2469,1.0757
367,378,2116.402116,0.6418,1.8006,417,428,1635.514019,0.5474,0.6993,467,478,1301.72013,0.6845,2.3433,517,528,1060.606061,0.2447,1.058
367.5,378.5,2151.349311,0.6506,1.8159,417.5,428.5,1662.77713,0.5033,0.6919,467.5,478.5,1323.580634,0.6729,2.3136,517.5,528.5,1078.524125,0.2422,1.0437
368,379,2186.204297,0.6616,1.8148,418,429,1689.97669,0.4915,0.7172,468,479,1345.3955,0.6709,2.299,518,529,1096.408318,0.2391,1.0265
368.5,379.5,2220.967438,0.6977,1.7847,418.5,429.5,1717.112922,0.4426,0.7192,468.5,479.5,1367.164871,0.6631,2.271,518.5,529.5,1114.258735,0.2351,1.0109
369,380,2255.639098,0.7177,1.7545,419,430,1744.186047,0.4187,0.7577,469,480,1388.888889,0.6573,2.2401,519,530,1132.075472,0.2313,0.9948
369.5,380.5,2290.219636,0.7238,1.7652,419.5,430.5,1771.196283,0.4129,0.8168,469.5,480.5,1410.567696,0.6578,2.2199,519.5,530.5,1149.858624,0.2278,0.9796
370,381,2324.709411,0.6743,1.7893,420,431,1798.143852,0.4056,0.7561,470,481,1432.201432,0.6603,2.22,520,531,1167.608286,0.2246,0.9649
370.5,381.5,2359.108781,0.6627,1.7806,420.5,431.5,1825.028969,0.368,0.7107,470.5,481.5,1453.790239,0.6572,2.2075,520.5,531.5,1185.324553,0.223,0.9502
371,382,2393.4181,0.6667,1.8367,421,432,1851.851852,0.3924,0.5595,471,482,1475.334255,0.6611,2.1953,521,532,1203.007519,0.2221,0.9372
371.5,382.5,2427.637722,0.6722,1.8529,421.5,432.5,1878.612717,0.3213,0.5685,471.5,482.5,1496.833621,0.6631,2.2011,521.5,532.5,1220.657277,0.2223,0.9247
372,383,2461.767997,0.6894,1.8607,422,433,1905.311778,0.2956,0.6237,472,483,1518.288475,0.66,2.2029,522,533,1238.273921,0.224,0.9134
372.5,383.5,2495.809275,0.6934,1.7819,422.5,433.5,1931.94925,0.2487,0.6315,472.5,483.5,1539.698954,0.6631,2.1999,522.5,533.5,1255.857545,0.2261,0.9048
373,384,2529.761905,0.6944,1.7684,423,434,1958.525346,0.2121,0.6293,473,484,1561.065197,0.6584,2.2018,523,534,1273.40824,0.2285,0.8996
373.5,384.5,2563.626231,0.7122,1.7968,423.5,434.5,1985.040276,0.163,0.6724,473.5,484.5,1582.387341,0.6574,2.189,523.5,534.5,1290.926099,0.2334,0.8939
374,385,2597.402597,0.7004,1.8030,424,435,2011.494253,0.1402,0.7004,474,485,1603.665521,0.6559,2.1833,524,535,1308.411215,0.2363,0.8877
