WL [nm],Int(Result.Sample 1)
500.5,1.1873
501,1.1824
501.5,1.169
502,1.1887
502.5,1.2043
503,1.2038
503.5,1.1988
504,1.2044
504.5,1.2058
505,1.2037
505.5,1.1977
506,1.2006
506.5,1.1972
507,1.1928
507.5,1.1851
508,1.1801
508.5,1.175
509,1.1688
509.5,1.1576
510,1.1418
510.5,1.131
511,1.1341
511.5,1.1399
512,1.1526
512.5,1.1524
513,1.1508
513.5,1.1443
514,1.149
514.5,1.1535
515,1.1588
515.5,1.1634
516,1.1669
516.5,1.1755
517,1.169
517.5,1.1667
518,1.1687
518.5,1.1786
519,1.1702
519.5,1.1357
520,1.0764
520.5,0.9141
521,0.2655
521.5,-0.5751
522,-1.3355
522.5,-2.0699
523,-1.9818
523.5,-1.7637
524,-0.0119
524.5,3.8386
525,9.3225
525.5,16.602
526,25.6215
526.5,36.0976
527,48.9521
527.5,63.8633
528,80.5645
528.5,98.9804
529,118.4475
529.5,140.1876
530,162.2968
530.5,185.8936
531,209.7645
531.5,234.6496
532,259.8582
532.5,283.9313
533,305.4778
533.5,324.0553
534,340.7596
534.5,352.8321
535,361.2278
535.5,364.4911
536,363.5225
536.5,357.7156
537,347.1675
537.5,332.0358
538,312.8612
538.5,291.3193
539,267.9604
539.5,243.8285
540,217.7957
540.5,192.6679
541,167.8048
541.5,144.48
542,122.1998
542.5,100.7333
543,80.4441
543.5,62.7274
544,47.3299
544.5,33.63
545,23.4072
545.5,14.6154
546,8.4325
546.5,3.3965
547,-0.3934
547.5,-2.2702
548,-2.7802
548.5,-1.8571
549,-0.7266
549.5,0.0115
550,0.3976
550.5,0.8138
551,1.0474
551.5,1.1518
552,1.118
552.5,1.0555
553,0.9793
553.5,0.9046
554,0.7761
554.5,0.6821
555,0.7378
555.5,0.8525
556,1.1474
556.5,1.7666
557,2.6059
557.5,3.8045
558,5.488
558.5,7.4709
559,10.1318
559.5,13.2697
560,16.8669
560.5,20.8826
561,25.0457
561.5,29.7477
562,34.7983
562.5,40.0966
563,45.6349
563.5,50.9966
564,56.5156
564.5,62.0299
565,67.4539
565.5,72.2696
566,76.6197
566.5,80.3019
567,82.9384
567.5,84.9327
568,85.9533
568.5,86.1213
569,85.4692
569.5,83.374
570,80.2139
570.5,76.097
571,71.3207
571.5,66.2143
572,60.6375
572.5,54.6035
573,48.4195
