(1)comp,(1)comp_ajuste,(1)raman,v_350_5-5,p_350_5-5
372.5,383.5,2495.809275,0.3639,1.1454
373,384,2529.761905,0.3645,1.1656
373.5,384.5,2563.626231,0.3544,1.238
374,385,2597.402597,0.3291,1.3379
374.5,385.5,2631.091347,0.3063,1.3777
375,386,2664.69282,0.2767,1.3712
375.5,386.5,2698.207355,0.2461,1.3895
376,387,2731.63529,0.2485,1.3813
376.5,387.5,2764.976959,0.3191,1.3887
377,388,2798.232695,0.3293,1.4801
377.5,388.5,2831.402831,0.4344,1.4471
378,389,2864.487697,0.5535,1.485
378.5,389.5,2897.487621,0.7238,1.4832
379,390,2930.40293,0.9064,1.5263
379.5,390.5,2963.233949,1.0756,1.5514
380,391,2995.981001,1.2352,1.6155
380.5,391.5,3028.644408,1.3277,1.6671
381,392,3061.22449,1.3894,1.8038
381.5,392.5,3093.721565,1.5003,1.9686
382,393,3126.135951,1.5335,2.2338
382.5,393.5,3158.467962,1.5839,2.4237
383,394,3190.717912,1.7041,2.6608
383.5,394.5,3222.886113,1.8352,2.8303
384,395,3254.972875,1.9373,2.9536
384.5,395.5,3286.978508,1.9792,2.9034
385,396,3318.903319,2.0267,2.8827
385.5,396.5,3350.747613,2.0532,2.8135
386,397,3382.511695,2.0339,2.7879
386.5,397.5,3414.195867,2.0043,2.6676
387,398,3445.800431,1.9335,2.7208
387.5,398.5,3477.325686,1.8233,2.5716
388,399,3508.77193,1.7776,2.6005
388.5,399.5,3540.13946,1.6587,2.5552
389,400,3571.428571,1.5398,2.4583
389.5,400.5,3602.639558,1.4811,2.2205
390,401,3633.772711,1.4899,2.1365
390.5,401.5,3664.828322,1.5401,2.0226
391,402,3695.806681,1.5126,1.9022
391.5,402.5,3726.708075,1.5216,1.7572
392,403,3757.53279,1.4903,1.7008
392.5,403.5,3788.281112,1.4571,1.5244
393,404,3818.953324,1.2856,1.5637
393.5,404.5,3849.549709,1.1286,1.5531
394,405,3880.070547,0.9545,1.5323
394.5,405.5,3910.516118,0.7798,1.4724
395,406,3940.8867,0.6535,1.5485
395.5,406.5,3971.182569,0.5219,1.5851
396,407,4001.404001,0.4127,1.5259
396.5,407.5,4031.551271,0.4463,1.4768
397,408,4061.62465,0.4705,1.4206
397.5,408.5,4091.62441,0.5015,1.4106
398,409,4121.550821,0.4712,1.3862
398.5,409.5,4151.404151,0.5362,1.312
399,410,4181.184669,0.4996,1.3024
399.5,410.5,4210.89264,0.4312,1.3381
400,411,4240.528328,0.4039,1.4481
