(1)comp,(1)comp_ajuste,(1)raman,v_350_5-5,p_350_5-5,(2)comp,(2)comp_ajuste,(2)raman,v_400_5-5,p_400_5-5,(3)comp,(3)comp_ajuste,(3)raman,v_450_10-10,p_450_10-10,(4)comp,(4)comp_ajuste,(4)raman,v_500_10-10,p_500_10-10
356.5,367.5,1360.544218,0.3015,1.3797,406.5,417.5,1047.904192,0.2769,1.1286,456.5,467.5,831.8478907,6.9072,16.2618,506.5,517.5,676.3285024,1.1006,2.4686
357,368,1397.515528,0.3011,1.3766,407,418,1076.555024,0.3347,1.1298,457,468,854.7008547,5.4411,12.6196,507,518,694.980695,0.7507,1.6384
357.5,368.5,1434.386509,0.3024,1.3707,407.5,418.5,1105.137395,0.3294,1.0953,457.5,468.5,877.5050397,4.2954,9.8002,507.5,518.5,713.5969142,0.5249,1.1117
358,369,1471.157569,0.3024,1.4025,408,419,1133.651551,0.3754,1.0751,458,469,900.2606018,2.9864,6.6318,508,519,732.177264,0.3914,0.8144
358.5,369.5,1507.829113,0.3031,1.3433,408.5,419.5,1162.097735,0.3505,1.0913,458.5,469.5,922.9676961,2.1296,4.5986,508.5,519.5,750.7218479,0.3384,0.6974
359,370,1544.401544,0.3029,1.315,409,420,1190.47619,0.3389,1.089,459,470,945.6264775,1.5184,3.0968,509,520,769.2307692,0.346,0.6977
359.5,370.5,1580.875265,0.303,1.261,409.5,420.5,1218.787158,0.3042,1.0565,459.5,470.5,968.2371,1.0974,2.1853,509.5,520.5,787.7041306,0.3725,0.7667
360,371,1617.250674,0.3036,1.2449,410,421,1247.030879,0.341,1.074,460,471,990.7997169,0.9688,1.823,510,521,806.1420345,0.4015,0.8421
360.5,371.5,1653.528168,0.3038,1.2649,410.5,421.5,1275.207592,0.3513,1.0771,460.5,471.5,1013.314481,0.9017,1.666,510.5,521.5,824.5445829,0.431,0.914
361,372,1689.708141,0.3038,1.2054,411,422,1303.317536,0.3866,1.1053,461,472,1035.781544,0.9274,1.7721,511,522,842.9118774,0.4535,0.9718
361.5,372.5,1725.790988,0.304,1.1855,411.5,422.5,1331.360947,0.4242,1.056,461.5,472.5,1058.201058,0.8825,1.7157,511.5,522.5,861.2440191,0.4672,1.0178
362,373,1761.777097,0.3043,1.1713,412,423,1359.338061,0.3923,1.0428,462,473,1080.573174,0.8546,1.6735,512,523,879.541109,0.4777,1.0439
362.5,373.5,1797.666858,0.3068,1.1636,412.5,423.5,1387.249115,0.356,1.0625,462.5,473.5,1102.898041,0.8822,1.7198,512.5,523.5,897.8032474,0.4796,1.0468
363,374,1833.460657,0.3126,1.1591,413,424,1415.09434,0.2927,1.0645,463,474,1125.175809,0.9175,1.8499,513,524,916.0305344,0.4799,1.0388
363.5,374.5,1869.158879,0.2984,1.0892,413.5,424.5,1442.873969,0.2058,1.0647,463.5,474.5,1147.406627,0.947,1.9445,513.5,524.5,934.2230696,0.4763,1.0274
364,375,1904.761905,0.2871,1.1093,414,425,1470.588235,0.1742,1.1179,464,475,1169.590643,0.9773,2.0045,514,525,952.3809524,0.4667,1.0138
364.5,375.5,1940.270116,0.279,1.1782,414.5,425.5,1498.237368,0.1399,1.061,464.5,475.5,1191.728006,0.9894,2.0183,514.5,525.5,970.5042816,0.4572,1.0009
365,376,1975.683891,0.275,1.2713,415,426,1525.821596,0.1857,1.0308,465,476,1213.818861,0.981,1.9956,515,526,988.5931559,0.4483,0.9891
365.5,376.5,2011.003605,0.2742,1.3261,415.5,426.5,1553.341149,0.1894,0.9578,465.5,476.5,1235.863355,0.9843,1.9708,515.5,526.5,1006.647673,0.441,0.9742
366,377,2046.229632,0.277,1.2986,416,427,1580.796253,0.1811,0.8766,466,477,1257.861635,0.9787,1.9318,516,527,1024.667932,0.4352,0.9585
366.5,377.5,2081.362346,0.2831,1.2601,416.5,427.5,1608.187135,0.1881,0.8202,466.5,477.5,1279.813845,0.9697,1.9038,516.5,527.5,1042.654028,0.4298,0.9464
367,378,2116.402116,0.3051,1.1977,417,428,1635.514019,0.1774,0.7569,467,478,1301.72013,0.9543,1.886,517,528,1060.606061,0.4217,0.9322
367.5,378.5,2151.349311,0.3013,1.1164,417.5,428.5,1662.77713,0.2,0.7515,467.5,478.5,1323.580634,0.9428,1.8696,517.5,528.5,1078.524125,0.4161,0.9191
368,379,2186.204297,0.3024,1.0067,418,429,1689.97669,0.1977,0.7567,468,479,1345.3955,0.9341,1.8522,518,529,1096.408318,0.4124,0.907
368.5,379.5,2220.967438,0.2854,0.9381,418.5,429.5,1717.112922,0.2233,0.7804,468.5,479.5,1367.164871,0.9248,1.8219,518.5,529.5,1114.258735,0.4087,0.8947
369,380,2255.639098,0.2681,0.9837,419,430,1744.186047,0.2262,0.8688,469,480,1388.888889,0.9159,1.7956,519,530,1132.075472,0.4079,0.8831
369.5,380.5,2290.219636,0.2568,1.073,419.5,430.5,1771.196283,0.2308,0.8193,469.5,480.5,1410.567696,0.901,1.7955,519.5,530.5,1149.858624,0.4067,0.8738
370,381,2324.709411,0.2467,1.1132,420,431,1798.143852,0.2053,0.8054,470,481,1432.201432,0.894,1.7786,520,531,1167.608286,0.4016,0.8654
370.5,381.5,2359.108781,0.2367,1.1431,420.5,431.5,1825.028969,0.1832,0.8175,470.5,481.5,1453.790239,0.887,1.761,520.5,531.5,1185.324553,0.3973,0.8562
371,382,2393.4181,0.2744,1.1642,421,432,1851.851852,0.1561,0.8668,471,482,1475.334255,0.8769,1.7513,521,532,1203.007519,0.3903,0.8499
371.5,382.5,2427.637722,0.3118,1.134,421.5,432.5,1878.612717,0.1309,0.8733,471.5,482.5,1496.833621,0.8667,1.7407,521.5,532.5,1220.657277,0.3818,0.8439
372,383,2461.767997,0.3486,1.2018,422,433,1905.311778,0.117,0.8509,472,483,1518.288475,0.8671,1.7309,522,533,1238.273921,0.3742,0.8396
372.5,383.5,2495.809275,0.3639,1.1454,422.5,433.5,1931.94925,0.1071,0.8979,472.5,483.5,1539.698954,0.8689,1.7283,522.5,533.5,1255.857545,0.361,0.8343
373,384,2529.761905,0.3645,1.1656,423,434,1958.525346,0.0733,0.9468,473,484,1561.065197,0.8557,1.732,523,534,1273.40824,0.35,0.8291
373.5,384.5,2563.626231,0.3544,1.238,423.5,434.5,1985.040276,0.0585,0.9392,473.5,484.5,1582.387341,0.8533,1.734,523.5,534.5,1290.926099,0.3356,0.8262
374,385,2597.402597,0.3291,1.3379,424,435,2011.494253,0.0893,0.904,474,485,1603.665521,0.8531,1.7282,524,535,1308.411215,0.321,0.8237
