(1)comp,(1)comp_ajuste,(1)raman,v_350_5-5,p_350_5-5,(2)comp,(2)comp_ajuste,(2)raman,v_400_5-5,p_400_5-5,(3)comp,(3)comp_ajuste,(3)raman,v_450_10-10,p_450_10-10,(4)comp,(4)comp_ajuste,(4)raman,v_500_10-10,p_500_10-10
416,427,5152.224824,0.3065,1.1469,466,477,4035.639413,0.1971,0.5786,516,527,3246.890154,0.9954,1.5043,566,577,2668.97747,0.1735,0.4627
416.5,427.5,5179.615706,0.3297,1.1443,466.5,477.5,4057.591623,0.1802,0.5711,516.5,527.5,3264.876251,1.0108,1.5139,566.5,577.5,2683.982684,0.1676,0.4605
417,428,5206.94259,0.3469,1.2028,467,478,4079.497908,0.1796,0.5633,517,528,3282.828283,1.0181,1.5232,567,578,2698.961938,0.1626,0.4598
417.5,428.5,5234.205701,0.3572,1.1989,467.5,478.5,4101.358412,0.1783,0.5083,517.5,528.5,3300.746347,1.0247,1.5274,567.5,578.5,2713.915298,0.1582,0.464
418,429,5261.405261,0.362,1.2496,468,479,4123.173278,0.1759,0.4765,518,529,3318.63054,1.0405,1.5289,568,579,2728.842832,0.1559,0.4655
418.5,429.5,5288.541493,0.3614,1.3301,468.5,479.5,4144.942649,0.1655,0.5605,518.5,529.5,3336.480957,1.0555,1.5467,568.5,579.5,2743.744607,0.1544,0.4675
419,430,5315.614618,0.3558,1.4078,469,480,4166.666667,0.1654,0.561,519,530,3354.297694,1.0636,1.5569,569,580,2758.62069,0.1533,0.469
419.5,430.5,5342.624855,0.3584,1.4535,469.5,480.5,4188.345473,0.1893,0.5667,519.5,530.5,3372.080846,1.0734,1.5629,569.5,580.5,2773.471146,0.1525,0.4709
420,431,5369.572423,0.3277,1.4298,470,481,4209.97921,0.1917,0.5316,520,531,3389.830508,1.0801,1.5588,570,581,2788.296041,0.1507,0.471
420.5,431.5,5396.45754,0.2982,1.419,470.5,481.5,4231.568017,0.2,0.5349,520.5,531.5,3407.546775,1.0813,1.56,570.5,581.5,2803.095443,0.1482,0.4681
421,432,5423.280423,0.282,1.3656,471,482,4253.112033,0.2144,0.5256,521,532,3425.229741,1.0849,1.5573,571,582,2817.869416,0.1492,0.4674
421.5,432.5,5450.041288,0.2778,1.3283,471.5,482.5,4274.611399,0.2221,0.4096,521.5,532.5,3442.879499,1.0891,1.5457,571.5,582.5,2832.618026,0.1498,0.4686
422,433,5476.74035,0.2817,1.3567,472,483,4296.066253,0.2274,0.3139,522,533,3460.496143,1.0897,1.5452,572,583,2847.341338,0.1502,0.4698
422.5,433.5,5503.377822,0.2663,1.3078,472.5,483.5,4317.476732,0.2049,0.2306,522.5,533.5,3478.079767,1.0721,1.5356,572.5,583.5,2862.039417,0.1484,0.4699
423,434,5529.953917,0.2289,1.2745,473,484,4338.842975,0.1923,0.225,523,534,3495.630462,1.0566,1.5303,573,584,2876.712329,0.1478,0.4713
423.5,434.5,5556.468848,0.2483,1.2929,473.5,484.5,4360.165119,0.1626,0.2597,523.5,534.5,3513.148321,1.0546,1.5271,573.5,584.5,2891.360137,0.1473,0.4711
424,435,5582.922824,0.2842,1.3421,474,485,4381.443299,0.144,0.2272,524,535,3530.633437,1.0444,1.5151,574,585,2905.982906,0.1475,0.4716
424.5,435.5,5609.316057,0.3034,1.3536,474.5,485.5,4402.677652,0.1295,0.1426,524.5,535.5,3548.085901,1.0249,1.5023,574.5,585.5,2920.5807,0.1466,0.4738
425,436,5635.648755,0.2972,1.3792,475,486,4423.868313,0.1207,0.1319,525,536,3565.505804,1.0182,1.4917,575,586,2935.153584,0.1458,0.4753
425.5,436.5,5661.921126,0.31,1.3819,475.5,486.5,4445.015416,0.1176,0.2083,525.5,536.5,3582.893238,0.9998,1.4742,575.5,586.5,2949.70162,0.1477,0.4763
426,437,5688.133377,0.3265,1.3095,476,487,4466.119097,0.1,0.2886,526,537,3600.248293,0.9806,1.4658,576,587,2964.224872,0.1512,0.4742
426.5,437.5,5714.285714,0.3224,1.2354,476.5,487.5,4487.179487,0.0845,0.3413,526.5,537.5,3617.571059,0.9578,1.4407,576.5,587.5,2978.723404,0.1534,0.4722
427,438,5740.378343,0.3212,1.2445,477,488,4508.196721,0.0733,0.3354,527,538,3634.861627,0.9248,1.4107,577,588,2993.197279,0.1545,0.4738
427.5,438.5,5766.411468,0.2915,1.1729,477.5,488.5,4529.170931,0.0641,0.3651,527.5,538.5,3652.120087,0.9078,1.3984,577.5,588.5,3007.646559,0.1556,0.476
428,439,5792.385291,0.2626,1.1301,478,489,4550.102249,0.0719,0.4449,528,539,3669.346526,0.8868,1.3733,578,589,3022.071307,0.1598,0.4763
428.5,439.5,5818.300016,0.2903,1.0668,478.5,489.5,4570.990807,0.063,0.4919,528.5,539.5,3686.541036,0.8663,1.3624,578.5,589.5,3036.471586,0.1645,0.4783
429,440,5844.155844,0.3039,1.1055,479,490,4591.836735,0.0809,0.5149,529,540,3703.703704,0.8417,1.3342,579,590,3050.847458,0.1688,0.4815
429.5,440.5,5869.952976,0.2965,1.139,479.5,490.5,4612.640163,0.0915,0.4884,529.5,540.5,3720.834618,0.8322,1.3073,579.5,590.5,3065.198984,0.172,0.4809
430,441,5895.69161,0.3131,1.322,480,491,4633.401222,0.1072,0.4793,530,541,3737.933867,0.8065,1.2698,580,591,3079.526227,0.1761,0.479
430.5,441.5,5921.371946,0.3098,1.4184,480.5,491.5,4654.120041,0.1156,0.4383,530.5,541.5,3755.001539,0.7778,1.2422,580.5,591.5,3093.829248,0.1807,0.4774
431,442,5946.994182,0.3124,1.3691,481,492,4674.796748,0.1084,0.4222,531,542,3772.03772,0.7607,1.2152,581,592,3108.108108,0.1878,0.4792
431.5,442.5,5972.558515,0.3034,1.3377,481.5,492.5,4695.431472,0.1085,0.3327,531.5,542.5,3789.042499,0.7392,1.1883,581.5,592.5,3122.362869,0.1922,0.4792
432,443,5998.06514,0.2947,1.28,482,493,4716.024341,0.1136,0.2294,532,543,3806.015961,0.7077,1.1605,582,593,3136.593592,0.1985,0.4803
432.5,443.5,6023.514254,0.2923,1.1292,482.5,493.5,4736.575481,0.114,0.1721,532.5,543.5,3822.958193,0.6809,1.1328,582.5,593.5,3150.800337,0.2041,0.4802
433,444,6048.906049,0.2918,1.111,483,494,4757.08502,0.097,0.1488,533,544,3839.869281,0.6651,1.1224,583,594,3164.983165,0.2113,0.4815
433.5,444.5,6074.24072,0.2967,0.9933,483.5,494.5,4777.553084,0.1044,0.1373,533.5,544.5,3856.749311,0.6575,1.105,583.5,594.5,3179.142136,0.2183,0.4837
434,445,6099.518459,0.3052,0.979,484,495,4797.979798,0.1276,0.1861,534,545,3873.598369,0.6375,1.0928,584,595,3193.277311,0.2268,0.4874
434.5,445.5,6124.739458,0.3163,1.0287,484.5,495.5,4818.365288,0.1425,0.2307,534.5,545.5,3890.416539,0.6131,1.085,584.5,595.5,3207.388749,0.2368,0.4941
435,446,6149.903908,0.3337,1.1347,485,496,4838.709677,0.1388,0.243,535,546,3907.203907,0.592,1.0746,585,596,3221.47651,0.2452,0.4988
435.5,446.5,6175.011998,0.331,1.1848,485.5,496.5,4859.013092,0.141,0.2774,535.5,546.5,3923.960557,0.5605,1.0595,585.5,596.5,3235.540654,0.2532,0.4995
436,447,6200.063918,0.3234,1.1566,486,497,4879.275654,0.1539,0.3018,536,547,3940.686573,0.5347,1.0507,586,597,3249.58124,0.2606,0.4996
436.5,447.5,6225.059856,0.307,1.1352,486.5,497.5,4899.497487,0.1624,0.2795,536.5,547.5,3957.38204,0.5166,1.025,586.5,597.5,3263.598326,0.2668,0.5028
437,448,6250,0.2596,1.1544,487,498,4919.678715,0.1585,0.3112,537,548,3974.04704,0.5094,1.0187,587,598,3277.591973,0.2735,0.5075
437.5,448.5,6274.884536,0.279,1.1621,487.5,498.5,4939.819458,0.1442,0.3213,537.5,548.5,3990.681657,0.5063,1.0101,587.5,598.5,3291.562239,0.2788,0.5121
438,449,6299.713649,0.2974,1.1454,488,499,4959.91984,0.1331,0.3128,538,549,4007.285974,0.4932,0.9871,588,599,3305.509182,0.2863,0.5148
438.5,449.5,6324.487526,0.3153,1.0911,488.5,499.5,4979.97998,0.1412,0.2993,538.5,549.5,4023.860075,0.4879,0.9767,588.5,599.5,3319.432861,0.2943,0.5172
439,450,6349.206349,0.3313,1.1309,489,500,5000,0.1765,0.305,539,550,4040.40404,0.4848,0.9652,589,600,3333.333333,0.2976,0.5175
439.5,450.5,6373.870303,0.3485,1.1796,489.5,500.5,5019.98002,0.1803,0.2977,539.5,550.5,4056.917953,0.4927,0.9479,589.5,600.5,3347.210658,0.298,0.5139
440,451,6398.479569,0.3657,1.1677,490,501,5039.92016,0.1876,0.2961,540,551,4073.401896,0.4771,0.9307,590,601,3361.064892,0.3,0.511
440.5,451.5,6423.03433,0.3747,1.1457,490.5,501.5,5059.820538,0.1986,0.2712,540.5,551.5,4089.855948,0.4688,0.912,590.5,601.5,3374.896093,0.2988,0.5096
441,452,6447.534766,0.3588,1.1753,491,502,5079.681275,0.2218,0.2428,541,552,4106.280193,0.4694,0.8931,591,602,3388.704319,0.2969,0.506
441.5,452.5,6471.981058,0.3313,1.0402,491.5,502.5,5099.502488,0.2228,0.2189,541.5,552.5,4122.674711,0.4623,0.8678,591.5,602.5,3402.489627,0.2903,0.4966
442,453,6496.373384,0.2956,1.0854,492,503,5119.284294,0.2035,0.2647,542,553,4139.039582,0.4523,0.846,592,603,3416.252073,0.2843,0.4889
442.5,453.5,6520.711923,0.3237,1.0593,492.5,503.5,5139.026812,0.189,0.2782,542.5,553.5,4155.374887,0.4526,0.8409,592.5,603.5,3429.991715,0.2755,0.4828
443,454,6544.996853,0.3225,1.0064,493,504,5158.730159,0.1999,0.2566,543,554,4171.680706,0.4402,0.83,593,604,3443.708609,0.2658,0.4781
443.5,454.5,6569.228351,0.3188,1.0483,493.5,504.5,5178.39445,0.1815,0.2264,543.5,554.5,4187.957119,0.4342,0.8266,593.5,604.5,3457.402812,0.2555,0.4737
444,455,6593.406593,0.3168,1.0762,494,505,5198.019802,0.197,0.2137,544,555,4204.204204,0.4265,0.8317,594,605,3471.07438,0.2467,0.4702
444.5,455.5,6617.531755,0.317,1.1593,494.5,505.5,5217.60633,0.1857,0.2072,544.5,555.5,4220.422042,0.4168,0.8365,594.5,605.5,3484.723369,0.2371,0.47
445,456,6641.60401,0.3203,1.2504,495,506,5237.15415,0.2069,0.2124,545,556,4236.610711,0.4048,0.8273,595,606,3498.349835,0.2247,0.4668
445.5,456.5,6665.623533,0.3264,1.225,495.5,506.5,5256.663376,0.2138,0.2043,545.5,556.5,4252.770291,0.3955,0.818,595.5,606.5,3511.953833,0.214,0.4651
446,457,6689.590497,0.3112,1.1836,496,507,5276.134122,0.2226,0.2131,546,557,4268.900858,0.3928,0.8106,596,607,3525.53542,0.204,0.4678
446.5,457.5,6713.505074,0.3,1.0309,496.5,507.5,5295.566502,0.228,0.245,546.5,557.5,4285.002491,0.387,0.8022,596.5,607.5,3539.09465,0.1937,0.4716
447,458,6737.367436,0.2953,1.0111,497,508,5314.96063,0.2148,0.2781,547,558,4301.075269,0.3814,0.7946,597,608,3552.631579,0.1866,0.4752
447.5,458.5,6761.177754,0.2929,0.9096,497.5,508.5,5334.316618,0.2125,0.2782,547.5,558.5,4317.119268,0.382,0.7893,597.5,608.5,3566.146261,0.1784,0.4785
448,459,6784.936197,0.2952,0.9532,498,509,5353.634578,0.2077,0.2428,548,559,4333.134566,0.3756,0.7852,598,609,3579.638752,0.1723,0.4805
448.5,459.5,6808.642935,0.2965,0.9498,498.5,509.5,5372.914622,0.2007,0.2215,548.5,559.5,4349.121239,0.3727,0.7799,598.5,609.5,3593.109106,0.1647,0.4829
449,460,6832.298137,0.3019,1.0544,499,510,5392.156863,0.1928,0.1955,549,560,4365.079365,0.3687,0.7552,599,610,3606.557377,0.1573,0.4858
449.5,460.5,6855.90197,0.3212,1.1092,499.5,510.5,5411.36141,0.2101,0.1475,549.5,560.5,4381.00902,0.3293,0.6941,599.5,610.5,3619.98362,0.1533,0.489
450,461,6879.454602,0.315,1.343,500,511,5430.528376,0.267,0.137,550,561,4396.910279,0.318,0.751,600,611,3633.387889,0.1497,0.489
,,,,,,,,,,,,,,,600.5,611.5,3646.770237,0.144,0.4904
,,,,,,,,,,,,,,,601,612,3660.130719,0.1395,0.4849
,,,,,,,,,,,,,,,601.5,612.5,3673.469388,0.1342,0.4737
,,,,,,,,,,,,,,,602,613,3686.786297,0.1293,0.4649
,,,,,,,,,,,,,,,602.5,613.5,3700.0815,0.1235,0.4558
,,,,,,,,,,,,,,,603,614,3713.355049,0.1188,0.4437
,,,,,,,,,,,,,,,603.5,614.5,3726.606998,0.1172,0.4299
,,,,,,,,,,,,,,,604,615,3739.837398,0.1148,0.4176
,,,,,,,,,,,,,,,604.5,615.5,3753.046304,0.1141,0.406
,,,,,,,,,,,,,,,605,616,3766.233766,0.1144,0.3937
,,,,,,,,,,,,,,,605.5,616.5,3779.399838,0.1238,0.3832
,,,,,,,,,,,,,,,606,617,3792.544571,0.1303,0.3712
,,,,,,,,,,,,,,,606.5,617.5,3805.668016,0.1356,0.3598
,,,,,,,,,,,,,,,607,618,3818.770227,0.1405,0.3483
,,,,,,,,,,,,,,,607.5,618.5,3831.851253,0.1482,0.3385
,,,,,,,,,,,,,,,608,619,3844.911147,0.1564,0.3305
,,,,,,,,,,,,,,,608.5,619.5,3857.94996,0.1673,0.3231
,,,,,,,,,,,,,,,609,620,3870.967742,0.1786,0.3159
,,,,,,,,,,,,,,,609.5,620.5,3883.964545,0.2016,0.3034
,,,,,,,,,,,,,,,610,621,3896.940419,0.216,0.286
