(3)comp,(3)comp_ajuste,(3)raman,v_450_10-10,p_450_10-10
512,523,3101.763331,0.8874,1.4066
512.5,523.5,3120.02547,0.9051,1.4145
513,524,3138.252757,0.9229,1.4284
513.5,524.5,3156.445292,0.9367,1.4443
514,525,3174.603175,0.9455,1.465
514.5,525.5,3192.726504,0.9482,1.4696
515,526,3210.815378,0.9631,1.4794
515.5,526.5,3228.869896,0.9763,1.4903
516,527,3246.890154,0.9954,1.5043
516.5,527.5,3264.876251,1.0108,1.5139
517,528,3282.828283,1.0181,1.5232
517.5,528.5,3300.746347,1.0247,1.5274
518,529,3318.63054,1.0405,1.5289
518.5,529.5,3336.480957,1.0555,1.5467
519,530,3354.297694,1.0636,1.5569
519.5,530.5,3372.080846,1.0734,1.5629
520,531,3389.830508,1.0801,1.5588
520.5,531.5,3407.546775,1.0813,1.56
521,532,3425.229741,1.0849,1.5573
521.5,532.5,3442.879499,1.0891,1.5457
522,533,3460.496143,1.0897,1.5452
522.5,533.5,3478.079767,1.0721,1.5356
523,534,3495.630462,1.0566,1.5303
523.5,534.5,3513.148321,1.0546,1.5271
524,535,3530.633437,1.0444,1.5151
524.5,535.5,3548.085901,1.0249,1.5023
525,536,3565.505804,1.0182,1.4917
525.5,536.5,3582.893238,0.9998,1.4742
526,537,3600.248293,0.9806,1.4658
526.5,537.5,3617.571059,0.9578,1.4407
527,538,3634.861627,0.9248,1.4107
527.5,538.5,3652.120087,0.9078,1.3984
528,539,3669.346526,0.8868,1.3733
528.5,539.5,3686.541036,0.8663,1.3624
529,540,3703.703704,0.8417,1.3342
529.5,540.5,3720.834618,0.8322,1.3073
530,541,3737.933867,0.8065,1.2698
530.5,541.5,3755.001539,0.7778,1.2422
531,542,3772.03772,0.7607,1.2152
531.5,542.5,3789.042499,0.7392,1.1883
532,543,3806.015961,0.7077,1.1605
532.5,543.5,3822.958193,0.6809,1.1328
533,544,3839.869281,0.6651,1.1224
533.5,544.5,3856.749311,0.6575,1.105
534,545,3873.598369,0.6375,1.0928
534.5,545.5,3890.416539,0.6131,1.085
535,546,3907.203907,0.592,1.0746
535.5,546.5,3923.960557,0.5605,1.0595
536,547,3940.686573,0.5347,1.0507
536.5,547.5,3957.38204,0.5166,1.025
537,548,3974.04704,0.5094,1.0187
537.5,548.5,3990.681657,0.5063,1.0101
538,549,4007.285974,0.4932,0.9871
538.5,549.5,4023.860075,0.4879,0.9767
539,550,4040.40404,0.4848,0.9652
539.5,550.5,4056.917953,0.4927,0.9479
540,551,4073.401896,0.4771,0.9307
540.5,551.5,4089.855948,0.4688,0.912
541,552,4106.280193,0.4694,0.8931
541.5,552.5,4122.674711,0.4623,0.8678
542,553,4139.039582,0.4523,0.846
542.5,553.5,4155.374887,0.4526,0.8409
543,554,4171.680706,0.4402,0.83
543.5,554.5,4187.957119,0.4342,0.8266
544,555,4204.204204,0.4265,0.8317
544.5,555.5,4220.422042,0.4168,0.8365
545,556,4236.610711,0.4048,0.8273
545.5,556.5,4252.770291,0.3955,0.818
546,557,4268.900858,0.3928,0.8106
546.5,557.5,4285.002491,0.387,0.8022
547,558,4301.075269,0.3814,0.7946
547.5,558.5,4317.119268,0.382,0.7893
548,559,4333.134566,0.3756,0.7852
548.5,559.5,4349.121239,0.3727,0.7799
549,560,4365.079365,0.3687,0.7552
549.5,560.5,4381.00902,0.3293,0.6941
550,561,4396.910279,0.318,0.751
