(2)comp,(2)10-5,(2)5-5,(3comp,(3)10-5,(3)5-5,(3)10-10,(4)comp,(4)10-10,(4)10-5
436,0.6014,0.5852,486,0.2231,0.0263,0.9005,586,0.3237,0.0413
436.5,0.6061,0.6079,486.5,0.2247,0.0148,0.8997,586.5,0.3292,0.0483
437,0.6146,0.5975,487,0.2298,0.0199,0.904,587,0.3367,0.0454
437.5,0.6358,0.5708,487.5,0.2324,0.0159,0.8988,587.5,0.3389,0.0447
438,0.65,0.5375,488,0.2347,0.0263,0.9018,588,0.3353,0.0498
438.5,0.6598,0.516,488.5,0.2318,0.036,0.9033,588.5,0.3386,0.0526
439,0.6654,0.4858,489,0.2286,0.0388,0.9044,589,0.3445,0.0558
439.5,0.6765,0.4521,489.5,0.2309,0.0406,0.9077,589.5,0.3445,0.0574
440,0.6795,0.458,490,0.2288,0.0264,0.9073,590,0.339,0.0501
440.5,0.6906,0.5124,490.5,0.2263,0.0365,0.911,590.5,0.3355,0.0401
441,0.7003,0.5622,491,0.2301,0.0388,0.9118,591,0.3345,0.0372
441.5,0.7041,0.6039,491.5,0.2274,0.0372,0.9099,591.5,0.3328,0.0354
442,0.7107,0.6425,492,0.2204,0.045,0.9131,592,0.326,0.0299
442.5,0.7306,0.7084,492.5,0.2151,0.0372,0.9143,592.5,0.3271,0.0288
443,0.7433,0.7827,493,0.2044,0.0476,0.9145,593,0.333,0.0339
443.5,0.7472,0.8588,493.5,0.1978,0.0591,0.916,593.5,0.3353,0.0396
444,0.7518,0.9185,494,0.1988,0.0616,0.9179,594,0.3344,0.0454
444.5,0.7635,0.9863,494.5,0.2068,0.064,0.9191,594.5,0.3324,0.0461
445,0.7893,1.0354,495,0.2041,0.0448,0.9194,595,0.3326,0.0453
445.5,0.8279,1.0922,495.5,0.2094,0.0502,0.924,595.5,0.3304,0.0411
446,0.8686,1.1134,496,0.2155,0.0504,0.927,596,0.3265,0.0356
446.5,0.9004,1.116,496.5,0.2148,0.0511,0.924,596.5,0.3229,0.0342
447,0.9433,1.1491,497,0.2151,0.0611,0.9225,597,0.3162,0.0283
447.5,0.9841,1.186,497.5,0.2168,0.0544,0.9217,597.5,0.3014,0.0226
448,1.0048,1.2181,498,0.2171,0.0497,0.9211,598,0.2903,0.0292
448.5,1.0117,1.2431,498.5,0.2179,0.0441,0.9205,598.5,0.285,0.0319
449,1.0194,1.2641,499,0.2235,0.0419,0.9239,599,0.2756,0.0356
449.5,1.0183,1.2833,499.5,0.2311,0.0404,0.9288,599.5,0.2615,0.0353
450,1.0245,1.2743,500,0.2289,0.0237,0.9228,600,0.2506,0.0358
450.5,1.0402,1.2723,500.5,0.2284,0.0227,0.922,600.5,0.2438,0.0316
451,1.0515,1.2613,501,0.2241,0.0184,0.9192,601,0.2369,0.025
451.5,1.0585,1.2568,501.5,0.2229,0.0193,0.9164,601.5,0.2302,0.0198
452,1.0525,1.2624,502,0.2197,0.0248,0.9209,602,0.2227,0.0126
452.5,1.0466,1.2634,502.5,0.2181,0.0221,0.9219,602.5,0.22,0.0079
453,1.0443,1.249,503,0.2188,0.022,0.9251,603,0.2184,0.0088
453.5,1.03,1.2357,503.5,0.2196,0.022,0.927,603.5,0.2158,0.0061
454,1.0349,1.2178,504,0.2217,0.0294,0.9291,604,0.2126,0.008
454.5,1.023,1.2054,504.5,0.2269,0.032,0.9353,604.5,0.2132,0.0083
455,1.0134,1.2427,505,0.226,0.0427,0.9457,605,0.2166,0.0091
455.5,0.9954,1.2207,505.5,0.2266,0.0471,0.9567,605.5,0.2197,0.0085
456,0.9784,1.1776,506,0.228,0.0464,0.9631,606,0.2228,0.0068
456.5,0.9368,1.1261,506.5,0.2295,0.0513,0.9684,606.5,0.2231,0.0056
457,0.8968,1.0838,507,0.2286,0.0434,0.9826,607,0.2259,0.0039
457.5,0.8743,1.0133,507.5,0.2328,0.0403,0.9951,607.5,0.2257,0.0012
458,0.8485,0.8983,508,0.237,0.0358,1.0145,608,0.2298,8.00E-04
458.5,0.8249,0.799,508.5,0.2427,0.0307,1.0322,608.5,0.23,-6.00E-04
459,0.8232,0.7054,509,0.2452,0.034,1.0503,609,0.228,-6.00E-04
459.5,0.8025,0.6582,509.5,0.2461,0.045,1.0692,609.5,0.2295,0.0014
460,0.7862,0.6669,510,0.245,0.0625,1.0809,610,0.2316,0.003
460.5,0.7667,0.6061,510.5,0.2458,0.0738,1.1019,610.5,0.2308,0.0042
461,0.7523,0.5649,511,0.2477,0.0806,1.1268,611,0.2302,0.0052
461.5,0.7265,0.5413,511.5,0.2455,0.0829,1.154,611.5,0.2288,0.0057
462,0.7182,0.5486,512,0.2501,0.0734,1.1766,612,0.2267,0.0054
462.5,0.7137,0.5641,512.5,0.2522,0.0676,1.1993,612.5,0.2241,0.0045
463,0.7048,0.5376,513,0.2537,0.0625,1.2192,613,0.2248,0.0028
463.5,0.6971,0.5166,513.5,0.2591,0.0655,1.2379,613.5,0.2246,5.00E-04
464,0.6819,0.486,514,0.2633,0.08,1.261,614,0.223,-7.00E-04
464.5,0.6691,0.4741,514.5,0.264,0.1063,1.2868,614.5,0.2166,1.00E-04
465,0.6675,0.4614,515,0.2643,0.1489,1.3152,615,0.2111,-9.00E-04
465.5,0.668,0.433,515.5,0.2639,0.1765,1.3361,615.5,0.2088,-1.00E-04
466,0.6584,0.4112,516,0.2623,0.2022,1.35,616,0.2063,0.0013
466.5,0.6485,0.3906,516.5,0.2558,0.2168,1.3626,616.5,0.2055,0.0024
467,0.642,0.4082,517,0.2606,0.2176,1.3755,617,0.2046,0.003
467.5,0.6381,0.4634,517.5,0.2601,0.2321,1.3843,617.5,0.1997,0.0033
468,0.628,0.4797,518,0.2589,0.2434,1.3895,618,0.1991,0.0032
