freq(MHz)_1/6,U2(V)_1/6,I1 (uA)_1/6,U1 (V)_1/6
21,0.3,55.1,3.0856
22,0.44,55.09,3.08504
23,0.44,56.37,3.15672
24,0.44,57.66,3.22896
25,0.42,58.85,3.2956
26,0.42,59.87,3.35272
27,0.46,60.71,3.39976
28,0.5,60.98,3.41488
28.5,0.54,60.85,3.4076
29,0.58,60.55,3.3908
29.5,0.64,59.6,3.3376
30,0.7,57.5,3.22
30.2,0.7,56.55,3.1668
30.4,0.76,54.49,3.05144
30.6,0.8,53.21,2.97976
30.8,0.82,50.94,2.85264
31,0.84,47.03,2.63368
31.2,0.88,44.04,2.46624
31.4,0.86,40.44,2.26464
31.6,0.84,35.53,1.98968
31.8,0.82,33.72,1.88832
32,0.8,32.42,1.81552
32.2,0.78,32.86,1.84016
32.4,0.76,35.18,1.97008
32.6,0.72,39,2.184
32.8,0.7,41.82,2.34192
33,0.66,46.04,2.57824
33.2,0.62,49.64,2.77984
33.7,0.48,55.79,3.12424
34.2,0.4,59.75,3.346
35,0.3,63.4,3.5504
