freq (MHz),dI,dB
25.1,0.13,0.53437
50,0.12,0.49326
70,0.11,0.45216
85,0.11,0.45216
25,0.089,0.36584
30,0.102,0.41927
35,0.103,0.42338
40,0.102,0.41927
45,0.101,0.41516
55,0.106,0.43572
60,0.1,0.41105
65,0.126,0.51793
65,0.126,0.51793
70,0.117,0.48093
