freq(MHz)_4/6,U2(V)_4/6,I1 (uA)_4/6,U1 (V)_4/6
20.5,0.62,51.25,2.87
20.7,0.66,51.38,2.87728
20.9,0.72,51.63,2.89128
21.1,0.76,51.55,2.8868
21.3,0.86,51.22,2.86832
21.5,0.98,50.5,2.828
21.7,1.1,49.25,2.758
21.9,1.26,47.06,2.63536
22.1,1.38,43.6,2.4416
22.3,1.4,41.98,2.35088
22.5,1.24,43.6,2.4416
22.7,1.04,46.81,2.62136
22.9,0.82,49.2,2.7552
23.1,0.64,50.7,2.8392
23.3,0.58,51.9,2.9064
24,0.3,55.5,3.108
24.5,0.22,56.55,3.1668
25,0.16,57.55,3.2228
