Record Length,2.500000e+03,,  -0.000012500000,  -6.43200,
Sample Interval,1.000000e-08,,  -0.000012490000,  -7.50400,
Trigger Point,1.250000000000e+03,,  -0.000012480000,  -5.36000,
,,,  -0.000012470000,  -7.50400,
,,,  -0.000012460000,  -5.36000,
,,,  -0.000012450000,  -6.43200,
Source,CH2,,  -0.000012440000,  -5.36000,
Vertical Units,V,,  -0.000012430000,  -5.36000,
Vertical Scale,2.680000e+01,,  -0.000012420000,  -6.43200,
Vertical Offset,0.000000e+00,,  -0.000012410000,  -5.36000,
Horizontal Units,s,,  -0.000012400000,  -4.28800,
Horizontal Scale,2.500000e-06,,  -0.000012390000,  -4.28800,
Pt Fmt,Y,,  -0.000012380000,  -4.28800,
Yzero,0.000000e+00,,  -0.000012370000,  -4.28800,
Probe Atten,1.000000e+01,,  -0.000012360000,  -5.36000,
Model Number,TDS1012B,,  -0.000012350000,  -3.21600,
Serial Number,C053081,,  -0.000012340000,  -5.36000,
Firmware Version,FV:v22.01,,  -0.000012330000,  -3.21600,
,,,-00.000012320000,  -2.14400,
,,,-00.000012310000,  -4.28800,
,,,-00.000012300000,  -5.36000,
,,,-00.000012290000,  -2.14400,
,,,-00.000012280000,  -2.14400,
,,,-00.000012270000,  -3.21600,
,,,-00.000012260000,  -3.21600,
,,,-00.000012250000,  -4.28800,
,,,-00.000012240000,  -1.07200,
,,,-00.000012230000,  -2.14400,
,,,-00.000012220000,  -4.28800,
,,,-00.000012210000,  -3.21600,
,,,-00.000012200000,  -2.14400,
,,,-00.000012190000,   1.07200,
,,,-00.000012180000,  -1.07200,
,,,-00.000012170000,   0.00000,
,,,-00.000012160000,  -2.14400,
,,,-00.000012150000,  -1.07200,
,,,-00.000012140000,   2.14400,
,,,-00.000012130000,   1.07200,
,,,-00.000012120000,   1.07200,
,,,-00.000012110000,   2.14400,
,,,-00.000012100000,   1.07200,
,,,-00.000012090000,   1.07200,
,,,-00.000012080000,   1.07200,
,,,-00.000012070000,   2.14400,
,,,-00.000012060000,   0.00000,
,,,-00.000012050000,   1.07200,
,,,-00.000012040000,   1.07200,
,,,-00.000012030000,   1.07200,
,,,-00.000012020000,   2.14400,
,,,-00.000012010000,   1.07200,
,,,-00.000012000000,   2.14400,
,,,-00.000011990000,   3.21600,
,,,-00.000011980000,   2.14400,
,,,-00.000011970000,   5.36000,
,,,-00.000011960000,   3.21600,
,,,-00.000011950000,   3.21600,
,,,-00.000011940000,   3.21600,
,,,-00.000011930000,   2.14400,
,,,-00.000011920000,   3.21600,
,,,-00.000011910000,   4.28800,
,,,-00.000011900000,   3.21600,
,,,-00.000011890000,   4.28800,
,,,-00.000011880000,   4.28800,
,,,-00.000011870000,   5.36000,
,,,-00.000011860000,   4.28800,
,,,-00.000011850000,   3.21600,
,,,-00.000011840000,   5.36000,
,,,-00.000011830000,   5.36000,
,,,-00.000011820000,   4.28800,
,,,-00.000011810000,   5.36000,
,,,-00.000011800000,   6.43200,
,,,-00.000011790000,   6.43200,
,,,-00.000011780000,   6.43200,
,,,-00.000011770000,   5.36000,
