Tensão (V),I (micro A)
1.31,0.12
5.22,1.75
10.38,3.62
15.03,4.48
20.15,4.94
25,5.17
30.13,5.32
35.46,5.44
40.04,5.51
45.19,5.57
50.13,5.62
63.53,5.73
70.83,5.79
79.93,5.83
90.55,5.89
100.58,5.93
120.34,6.01
140.27,6.09
164.04,6.17
182.07,6.2
200.9,6.26
253.1,6.38
301.7,6.47
352.2,6.55
401.4,6.63
452,6.69
499.9,6.75
