Tensão (V),I (micro A)
0.81,0.9
4.93,24.33
10.04,71.9
14.94,128.05
19.91,189.03
20.16,192.24
25.19,252.84
30.29,300.86
35.41,333.97
40.09,354.77
45.05,369.87
51.03,380.95
55.29,385.76
61.27,390.98
66.25,393.86
70.1,395.75
80.91,400.54
90.93,404.15
104.75,408
120.23,411.69
141.78,416.01
162.07,419.26
181.56,422.16
205,424.76
250,429.65
301.3,434.18
351.6,438.11
407.4,442
449.3,444.46
506.9,447.66
