Tensão (V),I (micro A)
0.89,1.26
5.11,28.853
10.11,75.23
15.21,139.77
20.56,221.53
25.31,296.37
30.01,368.85
35.02,438.52
40.17,501.41
44.97,540.84
50.34,573.7
60.41,611.71
70.43,630.8
80.22,640.82
90.56,647.84
100.16,652.86
121.3,662.7
143,670.56
161.75,675.87
180.33,680.2
200.2,684.57
253,694.5
300.5,701.55
355.5,708.49
404,713.87
451,718.13
500,722.93
