Tensão (V),I (micro A)
1.36,0.33
4.76,5.53
10.54,15.89
14.53,21.27
20.05,24.71
25.21,26.37
30.05,27.25
35.21,27.83
40.2,28.25
45.15,28.57
51.77,28.91
59.98,29.25
70.41,29.6
79.28,29.85
92.14,30.15
110.46,30.53
120.63,30.69
140.15,30.99
160.32,31.26
180.86,31.49
201.1,31.72
250.7,32.17
300.6,32.56
350.1,32.88
400.1,33.19
451.9,33.47
499.2,33.71
2.23,1.19
4.38,4.85
6.1,8.05
8.21,12.01
10.08,15.14
11.98,17.84
14.22,20.46
