Tensão (V),I (micro A)
1.27,0.025
5.15,0.717
10.53,1.253
15.61,1.443
20.35,1.533
24.92,1.587
30.19,1.631
35.3,1.659
40.08,1.683
45.73,1.705
51.02,1.722
61.42,1.75
70.46,1.77
80.73,1.793
91.46,1.81
101.82,1.82
120.58,1.855
141.73,1.88
159.56,1.9014
181.56,1.925
201.3,1.946
253,1.993
301.3,2.03
350.3,2.069
410,2.112
451.9,2.138
500.2,2.167
