I (A) bobina,I cat-an (mA)
0,1.88
0.13,1.87
0.2,1.88
0.29,1.89
0.4,1.86
0.45,1.87
0.49,1.8
0.62,1.72
0.7,1.65
0.99,1.47
1.23,1.32
1.54,1.16
1.74,1.08
1.99,1
