comp,int (ex 250 vidro),int (ex 250 plast),int (ex 300 vidro),int (ex 300 plast)
269.5,0.4294,0.5898,0.219,4.946
270,0.4225,0.6014,0.2142,4.8646
270.5,0.4338,0.6311,0.1997,4.918
271,0.4296,0.6541,0.191,5.0571
271.5,0.4244,0.6523,0.1766,5.4649
272,0.4581,0.6626,0.1743,5.7663
272.5,0.446,0.6578,0.1772,6.2651
273,0.4517,0.6389,0.1797,6.9023
273.5,0.4767,0.6225,0.1891,7.6235
274,0.5019,0.5941,0.188,9.0057
274.5,0.5159,0.531,0.2019,11.4833
275,0.5531,0.5384,0.2101,14.2012
275.5,0.5692,0.5245,0.2269,17.5184
276,0.5761,0.5411,0.2576,21.2135
276.5,0.5758,0.5723,0.2915,27.3732
277,0.5474,0.6252,0.3226,36.1949
277.5,0.5105,0.6358,0.3623,46.3403
278,0.497,0.6898,0.3975,53.8536
278.5,0.4903,0.7618,0.4306,67.7981
279,0.4631,0.8472,0.4783,86.6967
279.5,0.427,0.9193,0.5325,109.1096
280,0.414,1.0115,0.5844,129.7483
280.5,0.3901,1.0546,0.6281,154.2884
281,0.3849,1.108,0.6903,187.3893
281.5,0.3942,1.1528,0.7535,226.8003
282,0.4098,1.2223,0.8634,268.6012
282.5,0.3967,1.2768,0.9641,310.6893
283,0.3954,1.3771,1.0842,355.0155
283.5,0.4002,1.4317,1.1833,401.4544
284,0.3903,1.4628,1.3203,452.5736
284.5,0.387,1.5123,1.4823,506.1567
285,0.3895,1.587,1.666,562.0808
285.5,0.3967,1.6337,1.8682,619.1994
286,0.3934,1.7085,2.1031,675.8148
286.5,0.3609,1.7724,2.3416,731.4521
287,0.3495,1.8039,2.6426,782.9521
287.5,0.3524,1.8478,2.965,828.2629
288,0.3612,1.8902,3.2846,867.5154
288.5,0.378,1.9218,3.6126,906.9725
289,0.3997,1.9109,3.9738,938.9007
289.5,0.4059,1.9054,4.3332,962.7037
290,0.4289,1.8964,4.7036,978.5627
290.5,0.4084,1.8616,5.0621,994.3236
291,0.4175,1.873,5.4284,999.999
291.5,0.435,1.8856,5.8079,999.999
292,0.4433,1.8786,6.1183,999.999
292.5,0.4576,1.9035,6.4301,999.999
293,0.4656,2.0003,6.704,999.999
293.5,0.4607,2.051,6.9376,999.999
294,0.4585,2.1025,7.1573,999.999
294.5,0.4768,2.1801,7.3097,998.1793
295,0.4728,2.2802,7.4123,980.8443
295.5,0.4964,2.3961,7.4275,955.9861
296,0.5048,2.4986,7.3998,924.6736
296.5,0.5069,2.6338,7.2945,886.468
297,0.5176,2.6866,7.1804,843.6395
297.5,0.5239,2.78,6.9416,793.3598
298,0.5467,2.8301,6.6321,736.7108
298.5,0.5867,2.8977,6.2674,676.6304
299,0.6236,2.9417,5.8948,614.7533
299.5,0.6189,3.0346,5.4989,551.4136
300,0.6235,3.0526,5.0811,487.7808
300.5,0.6079,3.076,4.621,426.4182
301,0.6092,3.0872,4.1692,370.4467
301.5,0.6276,3.1076,3.7473,319.2956
302,0.5956,3.1104,3.3181,272.5233
302.5,0.6062,3.1459,2.9463,229.7756
303,0.5594,3.1988,2.5777,191.6349
303.5,0.5558,3.252,2.2581,154.6893
304,0.5426,3.33,1.9649,124.9795
304.5,0.5975,3.3814,1.7085,100.1169
305,0.6298,3.4608,1.4842,77.2733
305.5,0.6272,3.4896,1.2851,58.6273
306,0.6468,3.485,1.145,44.5232
306.5,0.6501,3.5281,1.017,33.7139
307,0.658,3.5113,0.9202,26.3169
307.5,0.6489,3.5475,0.8068,19.0467
308,0.7081,3.5823,0.7385,14.3104
308.5,0.7657,3.6407,0.6867,12.4883
309,0.7986,3.6812,0.6786,11.692
309.5,0.8342,3.709,0.7105,10.6431
310,0.9237,3.7438,0.7062,9.7336
310.5,0.983,3.7879,0.7151,9.6255
311,1.0589,3.8809,0.7532,10.231
311.5,1.1254,3.9825,0.8047,10.5827
312,1.1702,4.034,0.854,10.9515
312.5,1.2365,4.0739,0.8527,11.2657
313,1.2612,4.1886,0.9027,11.4563
313.5,1.3498,4.2936,0.9458,11.6542
314,1.4264,4.3524,0.9933,11.7766
314.5,1.5364,4.406,1.0772,11.844
315,1.5686,4.4319,1.1439,11.8527
315.5,1.5973,4.4304,1.2145,11.8593
316,1.6317,4.4021,1.2697,11.873
316.5,1.6711,4.405,1.3148,11.8893
317,1.7107,4.4133,1.3868,11.9283
317.5,1.7353,4.41,1.4328,11.9775
318,1.7777,4.446,1.4945,11.9873
318.5,1.8306,4.4708,1.5636,11.9918
319,1.8295,4.4849,1.6392,12.0072
319.5,1.8789,4.5244,1.7347,12.079
320,1.919,4.6165,1.7979,12.137
320.5,1.9765,4.712,1.902,12.1947
321,2.0239,4.8591,2.011,12.2289
321.5,2.0696,4.8595,2.104,12.2455
322,2.122,4.8615,2.1696,12.299
322.5,2.1241,4.8482,2.2175,12.3125
323,2.1803,4.8615,2.3381,12.3264
323.5,2.2645,4.8554,2.4377,12.345
324,2.3712,4.8464,2.5496,12.3074
324.5,2.4824,4.8588,2.7005,12.3277
325,2.5334,4.7743,2.8128,12.2673
325.5,2.6695,4.6918,2.9269,12.2688
326,2.7574,4.6047,3.0165,12.2482
326.5,2.9082,4.5655,3.1384,12.196
327,3.1025,4.5813,3.2731,12.1427
327.5,3.2291,4.5751,3.3675,12.1142
328,3.3678,4.6123,3.5294,12.0317
328.5,3.5718,4.6006,3.684,12.0179
329,3.7058,4.6393,3.8319,11.9896
329.5,3.8579,4.7612,3.9982,11.9741
330,3.9624,4.8392,4.1717,11.8704
330.5,4.1472,4.9191,4.3732,11.8168
331,4.275,4.9691,4.5464,11.7694
331.5,4.4426,4.9636,4.7149,11.7605
332,4.5324,5.0031,4.8492,11.7297
332.5,4.5695,4.9832,5.0582,11.6795
333,4.7274,5.0071,5.2911,11.6351
333.5,4.9239,5.0173,5.4744,11.6433
334,5.0288,4.9966,5.6967,11.6348
334.5,5.231,5.0104,5.9541,11.6645
335,5.3667,4.9248,6.1604,11.6116
335.5,5.5284,4.9554,6.4165,11.6258
336,5.6737,5.0032,6.6631,11.6052
336.5,5.8649,5.0395,6.9529,11.5816
337,6.0325,5.0755,7.2486,11.5599
337.5,6.1495,5.0552,7.5161,11.5611
338,6.3869,5.1177,7.851,11.52
338.5,6.5822,5.1407,8.1824,11.5366
339,6.7071,5.218,8.5031,11.5057
339.5,6.8415,5.2957,8.7743,11.4632
340,6.9593,5.2995,9.1257,11.3708
340.5,7.212,5.3382,9.5086,11.4149
341,7.3647,5.4142,9.8178,11.4669
341.5,7.5664,5.4446,10.1573,11.4967
342,7.7208,5.4116,10.4811,11.4881
342.5,7.9674,5.3549,10.8495,11.4728
343,8.2909,5.3592,11.1681,11.4623
343.5,8.6005,5.3837,11.501,11.4772
344,8.8709,5.4335,11.8549,11.4832
344.5,9.2026,5.5428,12.1823,11.461
345,9.3921,5.553,12.5226,11.4426
345.5,9.6284,5.6124,12.9292,11.4243
346,9.8663,5.6179,13.2926,11.395
346.5,10.1525,5.6277,13.678,11.3898
347,10.3436,5.7081,14.0543,11.4075
347.5,10.6548,5.6769,14.3992,11.3991
348,10.9211,5.7461,14.7877,11.412
348.5,11.0889,5.7257,15.1545,11.4147
349,11.2408,5.7717,15.4112,11.3569
349.5,11.3612,5.8258,15.7114,11.3516
350,11.5889,5.8635,16.0591,11.3344
350.5,11.8745,5.884,16.4032,11.3386
351,12.1239,5.9171,16.6897,11.3432
351.5,12.4467,5.9579,17.0561,11.3348
352,12.7033,5.9658,17.4213,11.2862
352.5,12.951,5.9784,17.799,11.2398
353,13.1454,6.0964,18.159,11.2177
353.5,13.3625,6.2286,18.5295,11.1647
354,13.5619,6.388,18.8782,11.0973
354.5,13.7101,6.5325,19.2319,10.9858
355,13.8936,6.5572,19.6111,10.8916
355.5,14.0821,6.6365,19.9805,10.8108
356,14.2564,6.7008,20.3019,10.7843
356.5,14.4995,6.8151,20.6515,10.7877
357,14.5786,6.8243,21.0373,10.7692
357.5,14.9025,6.8427,21.3372,10.7664
358,15.1051,6.9725,21.6332,10.7562
358.5,15.2578,7.0111,21.929,10.7371
359,15.4713,7.0768,22.2338,10.7319
359.5,15.6111,7.1294,22.5748,10.7429
360,16.0253,7.1532,22.821,10.6848
360.5,16.3317,7.133,23.1414,10.6724
361,16.6619,7.1277,23.4401,10.6969
361.5,16.9443,7.1002,23.7801,10.6976
362,17.164,6.9801,24.0948,10.6814
362.5,17.3546,6.8576,24.4147,10.6496
363,17.5645,6.8244,24.6765,10.6328
363.5,17.7544,6.8525,24.9072,10.5925
364,17.9335,6.8909,25.1173,10.5822
364.5,18.0571,6.9146,25.3342,10.5067
365,18.1778,6.9137,25.5388,10.4841
365.5,18.2513,6.8891,25.7209,10.4416
366,18.4025,6.8571,25.8578,10.4005
366.5,18.4655,6.851,25.9846,10.3574
367,18.5098,6.8337,26.1633,10.3118
367.5,18.5764,6.8997,26.2791,10.3074
368,18.5283,6.9775,26.4024,10.2913
368.5,18.5037,6.9743,26.5454,10.3244
369,18.6232,7.0062,26.6111,10.3163
369.5,18.6521,6.9652,26.6191,10.2874
370,18.8379,6.9757,26.6298,10.2979
370.5,18.8784,6.9945,26.6814,10.3195
371,19.0195,7.0237,26.6901,10.3424
371.5,19.1036,7.0123,26.7259,10.3785
372,19.1805,6.9538,26.8172,10.3796
372.5,19.2136,6.9073,26.8203,10.3813
373,19.2564,6.8974,26.788,10.3964
373.5,19.3562,6.9819,26.7428,10.369
374,19.5063,7.0156,26.7631,10.3382
374.5,19.5057,6.9856,26.8023,10.2426
375,19.6072,6.9597,26.7783,10.1981
375.5,19.672,6.9006,26.8021,10.0807
376,19.7222,6.8859,26.8441,9.9618
376.5,19.6441,6.7899,26.9034,9.8791
377,19.57,6.7185,27.0202,9.8206
377.5,19.4929,6.6585,27.0568,9.816
378,19.4994,6.6179,27.0192,9.7924
378.5,19.529,6.5493,26.9941,9.7715
379,19.6041,6.4869,26.9597,9.6962
379.5,19.5788,6.4009,27.0206,9.648
380,19.6358,6.45,26.9764,9.6364
380.5,19.7056,6.4768,26.9994,9.5723
381,19.7369,6.4717,26.9698,9.5367
381.5,19.7058,6.4393,26.9321,9.5293
382,19.7654,6.4281,26.9532,9.5273
382.5,19.8382,6.439,26.8632,9.5421
383,19.9116,6.4678,26.8877,9.5298
383.5,19.9816,6.5178,26.8948,9.5338
384,20.0564,6.4482,26.9442,9.5539
384.5,20.1507,6.5189,26.9665,9.5698
385,20.2896,6.5908,26.9875,9.566
385.5,20.3763,6.6017,27.1412,9.5312
386,20.3555,6.5676,27.2307,9.5149
386.5,20.403,6.5056,27.2572,9.5393
387,20.3019,6.4459,27.295,9.6076
387.5,20.4386,6.432,27.2685,9.6255
388,20.4761,6.4414,27.2238,9.6242
