comp(1),comp_corrected(1),raman_shift(1),vidro(ex 350 5-5),plastico(ex 350 5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(ex 400 5-5),plastico(ex 400 5-5),comp(3),comp_corrected(3),raman_shift(3),vidro(ex 450 10-10),plastico(ex 450 10-10),comp(4),comp_corrected(4),raman_shift(4),vidro(ex 500 10-10),plastico(ex 500 10-10)
352,363,1023.219205,0.3362570783,0.8218828515,402,413,786.9249395,0.5244717732,0.6285874527,452,463,623.950084,0.7405340522,2.526045068,502,513,506.8226121,77.04805224,544.2709911
352.5,363.5,1061.112203,0.336457862,0.8225731353,402.5,413.5,816.2031439,0.5256906067,0.6287812097,452.5,463.5,647.2491909,0.7407901302,2.532324938,502.5,513.5,525.8033106,77.97148814,550.9067851
353,364,1098.901099,0.3366586457,0.8232634191,403,414,845.410628,0.5269094401,0.6289749667,453,464,670.4980843,0.7410462082,2.538604809,503,514,544.7470817,78.89492403,557.5425791
353.5,364.5,1136.586322,0.3368594293,0.823953703,403.5,414.5,874.5476478,0.5281282736,0.6291687237,453.5,464.5,693.6969262,0.7413022862,2.54488468,503.5,514.5,563.654033,79.81835993,564.1783731
354,365,1174.168297,0.337060213,0.8246439868,404,415,903.6144578,0.5293471071,0.6293624806,454,465,716.8458781,0.7415583642,2.551164551,504,515,582.5242718,80.74179582,570.8141671
354.5,365.5,1211.64745,0.3372609967,0.8253342706,404.5,415.5,932.6113117,0.5305659406,0.6295562376,454.5,465.5,739.9451008,0.7418144422,2.557444422,504.5,515.5,601.3579049,81.66523172,577.4499611
355,366,1249.0242,0.3374617804,0.8260245545,405,416,961.5384615,0.5317847741,0.6297499946,455,466,762.9947544,0.7420705203,2.563724293,505,516,620.1550388,82.58866761,584.0857551
355.5,366.5,1286.298967,0.3376625641,0.8267148383,405.5,416.5,990.3961585,0.5330036076,0.6299437516,455.5,466.5,785.9949982,0.7423265983,2.570004164,505.5,516.5,638.9157793,83.5121035,590.7215491
356,367,1323.472168,0.3378633477,0.8274051221,406,417,1019.184652,0.534222441,0.6301375086,456,467,808.945991,0.7425826763,2.576284035,506,517,657.6402321,84.4355394,597.3573431
356.5,367.5,1360.544218,0.3380641314,0.8280954059,406.5,417.5,1047.904192,0.5354412745,0.6303312655,456.5,467.5,831.8478907,0.7428387543,2.582563906,506.5,517.5,676.3285024,85.35897529,603.9931371
357,368,1397.515528,0.3382649151,0.8287856898,407,418,1076.555024,0.536660108,0.6305250225,457,468,854.7008547,0.7430948323,2.588843777,507,518,694.980695,86.28241119,610.6289311
357.5,368.5,1434.386509,0.3384656988,0.8294759736,407.5,418.5,1105.137395,0.5378789415,0.6307187795,457.5,468.5,877.5050397,0.7433509103,2.595123648,507.5,518.5,713.5969142,87.20584708,617.2647251
358,369,1471.157569,0.3386664824,0.8301662574,408,419,1133.651551,0.539097775,0.6309125365,458,469,900.2606018,0.7436069883,2.601403519,508,519,732.177264,88.12928298,623.9005191
358.5,369.5,1507.829113,0.3388672661,0.8308565413,408.5,419.5,1162.097735,0.5403166085,0.6311062934,458.5,469.5,922.9676961,0.7438630663,2.60768339,508.5,519.5,750.7218479,89.05271887,630.5363131
359,370,1544.401544,0.3390680498,0.8315468251,409,420,1190.47619,0.5415354419,0.6313000504,459,470,945.6264775,0.7441191443,2.613963261,509,520,769.2307692,89.97615477,637.1721071
359.5,370.5,1580.875265,0.3392688335,0.8322371089,409.5,420.5,1218.787158,0.5427542754,0.6314938074,459.5,470.5,968.2371,0.7443752223,2.620243132,509.5,520.5,787.7041306,90.89959066,643.8079011
360,371,1617.250674,0.3394696172,0.8329273927,410,421,1247.030879,0.5439731089,0.6316875644,460,471,990.7997169,0.7446313003,2.626523003,510,521,806.1420345,91.82302655,650.4436951
360.5,371.5,1653.528168,0.3396704008,0.8336176766,410.5,421.5,1275.207592,0.5451919424,0.6318813213,460.5,471.5,1013.314481,0.7448873783,2.632802874,510.5,521.5,824.5445829,92.74646245,657.0794891
361,372,1689.708141,0.3398711845,0.8343079604,411,422,1303.317536,0.5464107759,0.6320750783,461,472,1035.781544,0.7451434563,2.639082745,511,522,842.9118774,93.66989834,663.7152831
